order,category,slug,max_points,start_date,title
1,attendance,aug-26,1,2024-08-26,August 26
2,attendance,aug-28,1,2024-08-26,August 28
3,attendance,aug-30,1,2024-08-30,August 30
4,attendance,sep-04,1,2024-09-04,September 4
4,attendance,sep-06,1,2024-09-06,September 6
5,attendance,sep-09,1,2024-09-09,September 9
6,attendance,sep-11,1,2024-09-11,September 11
7,attendance,sep-13,1,2024-09-13,September 13
8,attendance,sep-16,1,2024-09-16,September 16
9,attendance,sep-18,1,2024-09-18,September 18
10,attendance,sep-20,1,2024-09-20,September 20
11,attendance,sep-23,1,2024-09-23,September 23
12,attendance,sep-25,1,2024-09-25,September 25
13,attendance,sep-27,1,2024-09-27,September 27
14,attendance,sep-30,1,2024-09-30,September 30
15,attendance,oct-02,1,2024-10-02,October 2
16,attendance,oct-04,1,2024-10-02,October 4
17,attendance,oct-07,1,2024-10-07,October 7
18,attendance,oct-09,1,2024-10-09,October 9
19,attendance,oct-11,1,2024-10-11,October 11
23,attendance,oct-14,1,2024-10-14,October 14
24,attendance,oct-16,1,2024-10-16,October 16
25,attendance,oct-18,1,2024-10-18,October 18
26,attendance,oct-21,1,2024-10-21,October 21
27,attendance,oct-23,1,2024-10-23,October 23
28,attendance,oct-25,1,2024-10-25,October 25
29,attendance,oct-28,1,2024-10-28,October 28
30,attendance,oct-30,1,2024-10-30,October 30
31,attendance,nov-01,1,2024-11-01,November 1
32,attendance,nov-04,1,2024-11-04,November 4
33,attendance,nov-06,1,2024-11-06,November 6
34,attendance,nov-08,1,2024-11-08,November 8
35,attendance,nov-11,1,2024-11-11,November 11
36,attendance,nov-13,1,2024-11-13,November 13
37,attendance,nov-15,1,2024-11-15,November 15
38,attendance,nov-18,1,2024-11-18,November 18
39,attendance,nov-20,1,2024-11-20,November 20
41,attendance,dec-02,1,2024-12-02,December 2
42,attendance,dec-04,1,2024-12-04,December 4
44,attendance,dec-09,1,2024-12-09,December 9
100,problems,test-contest-a-a-b,1,2024-08-26,Test Contest A: A + B
