slug,netid,score
io-problems-preclass-a-io-explicit-counts,sawanoi2,100.0
io-problems-preclass-b-io-end-markers,sawanoi2,100.0
io-problems-preclass-c-io-end-of-file,sawanoi2,100.0
io-problems-preclass-a-io-explicit-counts,tvm3,100.0
io-problems-preclass-b-io-end-markers,tvm3,100.0
io-problems-preclass-c-io-end-of-file,tvm3,100.0
io-problems-preclass-a-io-explicit-counts,rrfang2,100.0
io-problems-preclass-b-io-end-markers,rrfang2,100.0
io-problems-preclass-c-io-end-of-file,rrfang2,100.0
io-problems-preclass-a-io-explicit-counts,aayush8,100.0
io-problems-preclass-b-io-end-markers,aayush8,100.0
io-problems-preclass-c-io-end-of-file,aayush8,100.0
io-problems-preclass-a-io-explicit-counts,cychen6,100.0
io-problems-preclass-b-io-end-markers,cychen6,100.0
io-problems-preclass-c-io-end-of-file,cychen6,100.0
io-problems-preclass-a-io-explicit-counts,ashwath6,100.0
io-problems-preclass-b-io-end-markers,ashwath6,100.0
io-problems-preclass-c-io-end-of-file,ashwath6,100.0
io-problems-preclass-a-io-explicit-counts,jeremy19,100.0
io-problems-preclass-b-io-end-markers,jeremy19,100.0
io-problems-preclass-c-io-end-of-file,jeremy19,100.0
io-problems-preclass-a-io-explicit-counts,gracewz2,100.0
io-problems-preclass-b-io-end-markers,gracewz2,100.0
io-problems-preclass-c-io-end-of-file,gracewz2,100.0
io-problems-preclass-a-io-explicit-counts,madhavp2,100.0
io-problems-preclass-b-io-end-markers,madhavp2,100.0
io-problems-preclass-c-io-end-of-file,madhavp2,100.0
io-problems-preclass-a-io-explicit-counts,jacobak3,100.0
io-problems-preclass-b-io-end-markers,jacobak3,100.0
io-problems-preclass-c-io-end-of-file,jacobak3,100.0
io-problems-preclass-a-io-explicit-counts,gauravr2,100.0
io-problems-preclass-b-io-end-markers,gauravr2,100.0
io-problems-preclass-c-io-end-of-file,gauravr2,100.0
io-problems-preclass-a-io-explicit-counts,vismays2,100.0
io-problems-preclass-b-io-end-markers,vismays2,100.0
io-problems-preclass-c-io-end-of-file,vismays2,100.0
io-problems-preclass-a-io-explicit-counts,baez5,100.0
io-problems-preclass-b-io-end-markers,baez5,100.0
io-problems-preclass-c-io-end-of-file,baez5,100.0
io-problems-preclass-a-io-explicit-counts,kasink2,100.0
io-problems-preclass-b-io-end-markers,kasink2,100.0
io-problems-preclass-c-io-end-of-file,kasink2,100.0
io-problems-preclass-a-io-explicit-counts,esliu3,100.0
io-problems-preclass-b-io-end-markers,esliu3,100.0
io-problems-preclass-c-io-end-of-file,esliu3,100.0
io-problems-preclass-a-io-explicit-counts,rajasg2,100.0
io-problems-preclass-b-io-end-markers,rajasg2,100.0
io-problems-preclass-c-io-end-of-file,rajasg2,100.0
io-problems-preclass-a-io-explicit-counts,rkmohan2,100.0
io-problems-preclass-b-io-end-markers,rkmohan2,100.0
io-problems-preclass-c-io-end-of-file,rkmohan2,100.0
io-problems-preclass-a-io-explicit-counts,zhan32,100.0
io-problems-preclass-b-io-end-markers,zhan32,100.0
io-problems-preclass-c-io-end-of-file,zhan32,100.0
io-problems-preclass-a-io-explicit-counts,pskalle2,100.0
io-problems-preclass-b-io-end-markers,pskalle2,100.0
io-problems-preclass-c-io-end-of-file,pskalle2,100.0
io-problems-preclass-a-io-explicit-counts,kona2,100.0
io-problems-preclass-b-io-end-markers,kona2,100.0
io-problems-preclass-c-io-end-of-file,kona2,100.0
io-problems-preclass-a-io-explicit-counts,akhot2,100.0
io-problems-preclass-b-io-end-markers,akhot2,100.0
io-problems-preclass-c-io-end-of-file,akhot2,100.0
io-problems-preclass-a-io-explicit-counts,zihengc2,100.0
io-problems-preclass-b-io-end-markers,zihengc2,100.0
io-problems-preclass-c-io-end-of-file,zihengc2,100.0
io-problems-preclass-a-io-explicit-counts,shopp7,100.0
io-problems-preclass-b-io-end-markers,shopp7,100.0
io-problems-preclass-c-io-end-of-file,shopp7,100.0
io-problems-preclass-a-io-explicit-counts,sdonty2,100.0
io-problems-preclass-b-io-end-markers,sdonty2,100.0
io-problems-preclass-c-io-end-of-file,sdonty2,100.0
io-problems-preclass-a-io-explicit-counts,sgandhi,100.0
io-problems-preclass-b-io-end-markers,sgandhi,100.0
io-problems-preclass-c-io-end-of-file,sgandhi,100.0
io-problems-preclass-a-io-explicit-counts,pps6,100.0
io-problems-preclass-b-io-end-markers,pps6,100.0
io-problems-preclass-c-io-end-of-file,pps6,100.0
io-problems-preclass-a-io-explicit-counts,augale2,100.0
io-problems-preclass-b-io-end-markers,augale2,100.0
io-problems-preclass-c-io-end-of-file,augale2,100.0
io-problems-preclass-a-io-explicit-counts,hali53,100.0
io-problems-preclass-b-io-end-markers,hali53,100.0
io-problems-preclass-c-io-end-of-file,hali53,100.0
io-problems-preclass-a-io-explicit-counts,pk46,100.0
io-problems-preclass-b-io-end-markers,pk46,100.0
io-problems-preclass-c-io-end-of-file,pk46,100.0
io-problems-preclass-a-io-explicit-counts,peiyuan3,100.0
io-problems-preclass-b-io-end-markers,peiyuan3,100.0
io-problems-preclass-c-io-end-of-file,peiyuan3,100.0
io-problems-preclass-a-io-explicit-counts,ku18,100.0
io-problems-preclass-b-io-end-markers,ku18,100.0
io-problems-preclass-c-io-end-of-file,ku18,100.0
io-problems-preclass-a-io-explicit-counts,eeho2,100.0
io-problems-preclass-b-io-end-markers,eeho2,100.0
io-problems-preclass-c-io-end-of-file,eeho2,100.0
io-problems-preclass-a-io-explicit-counts,sbhende2,100.0
io-problems-preclass-b-io-end-markers,sbhende2,100.0
io-problems-preclass-c-io-end-of-file,sbhende2,100.0
io-problems-preclass-a-io-explicit-counts,mihirs2,100.0
io-problems-preclass-b-io-end-markers,mihirs2,100.0
io-problems-preclass-c-io-end-of-file,mihirs2,100.0
io-problems-preclass-a-io-explicit-counts,nishkdp2,100.0
io-problems-preclass-b-io-end-markers,nishkdp2,100.0
io-problems-preclass-c-io-end-of-file,nishkdp2,100.0
io-problems-preclass-a-io-explicit-counts,smudili2,100.0
io-problems-preclass-b-io-end-markers,smudili2,100.0
io-problems-preclass-c-io-end-of-file,smudili2,100.0
io-problems-preclass-a-io-explicit-counts,riab2,100.0
io-problems-preclass-b-io-end-markers,riab2,100.0
io-problems-preclass-c-io-end-of-file,riab2,100.0
io-problems-preclass-a-io-explicit-counts,anniet5,100.0
io-problems-preclass-b-io-end-markers,anniet5,100.0
io-problems-preclass-c-io-end-of-file,anniet5,100.0
io-problems-preclass-a-io-explicit-counts,sumedh2,100.0
io-problems-preclass-b-io-end-markers,sumedh2,100.0
io-problems-preclass-c-io-end-of-file,sumedh2,100.0
io-problems-preclass-a-io-explicit-counts,nuoxing2,100.0
io-problems-preclass-b-io-end-markers,nuoxing2,100.0
io-problems-preclass-c-io-end-of-file,nuoxing2,100.0
io-problems-preclass-a-io-explicit-counts,dylanad2,100.0
io-problems-preclass-b-io-end-markers,dylanad2,100.0
io-problems-preclass-c-io-end-of-file,dylanad2,100.0
io-problems-preclass-a-io-explicit-counts,akuma29,100.0
io-problems-preclass-b-io-end-markers,akuma29,100.0
io-problems-preclass-c-io-end-of-file,akuma29,100.0
io-problems-preclass-a-io-explicit-counts,geda2,100.0
io-problems-preclass-b-io-end-markers,geda2,100.0
io-problems-preclass-c-io-end-of-file,geda2,100.0
io-problems-preclass-a-io-explicit-counts,arjit2,100.0
io-problems-preclass-b-io-end-markers,arjit2,100.0
io-problems-preclass-c-io-end-of-file,arjit2,100.0
io-problems-preclass-a-io-explicit-counts,wentaol4,100.0
io-problems-preclass-b-io-end-markers,wentaol4,100.0
io-problems-preclass-c-io-end-of-file,wentaol4,100.0
io-problems-preclass-a-io-explicit-counts,baoyuan2,100.0
io-problems-preclass-b-io-end-markers,baoyuan2,100.0
io-problems-preclass-c-io-end-of-file,baoyuan2,100.0
io-problems-preclass-a-io-explicit-counts,aashayd2,100.0
io-problems-preclass-b-io-end-markers,aashayd2,100.0
io-problems-preclass-c-io-end-of-file,aashayd2,100.0
io-problems-preclass-a-io-explicit-counts,anupamd2,100.0
io-problems-preclass-b-io-end-markers,anupamd2,100.0
io-problems-preclass-c-io-end-of-file,anupamd2,100.0
io-problems-preclass-a-io-explicit-counts,rohitmb2,100.0
io-problems-preclass-b-io-end-markers,rohitmb2,100.0
io-problems-preclass-c-io-end-of-file,rohitmb2,100.0
io-problems-preclass-a-io-explicit-counts,aashok8,100.0
io-problems-preclass-b-io-end-markers,aashok8,0.0
