slug,netid,score
cs-491-stl-a-radio-station,sawanoi2,100.0
cs-491-stl-b-highs-and-lows,sawanoi2,100.0
cs-491-stl-c-smartphone,sawanoi2,100.0
cs-491-stl-a-radio-station,aayush8,100.0
cs-491-stl-b-highs-and-lows,aayush8,100.0
cs-491-stl-c-smartphone,aayush8,100.0
cs-491-stl-a-radio-station,rrfang2,100.0
cs-491-stl-b-highs-and-lows,rrfang2,100.0
cs-491-stl-c-smartphone,rrfang2,100.0
cs-491-stl-a-radio-station,zihengc2,100.0
cs-491-stl-b-highs-and-lows,zihengc2,100.0
cs-491-stl-c-smartphone,zihengc2,100.0
cs-491-stl-a-radio-station,esliu3,100.0
cs-491-stl-b-highs-and-lows,esliu3,100.0
cs-491-stl-c-smartphone,esliu3,100.0
cs-491-stl-a-radio-station,gracewz2,100.0
cs-491-stl-b-highs-and-lows,gracewz2,100.0
cs-491-stl-c-smartphone,gracewz2,100.0
cs-491-stl-a-radio-station,cychen6,100.0
cs-491-stl-b-highs-and-lows,cychen6,100.0
cs-491-stl-c-smartphone,cychen6,100.0
cs-491-stl-a-radio-station,sdonty2,100.0
cs-491-stl-b-highs-and-lows,sdonty2,100.0
cs-491-stl-c-smartphone,sdonty2,100.0
cs-491-stl-a-radio-station,gauravr2,100.0
cs-491-stl-b-highs-and-lows,gauravr2,100.0
cs-491-stl-c-smartphone,gauravr2,100.0
cs-491-stl-a-radio-station,jacobak3,100.0
cs-491-stl-b-highs-and-lows,jacobak3,100.0
cs-491-stl-c-smartphone,jacobak3,100.0
cs-491-stl-a-radio-station,akhot2,100.0
cs-491-stl-b-highs-and-lows,akhot2,100.0
cs-491-stl-c-smartphone,akhot2,100.0
cs-491-stl-a-radio-station,augale2,100.0
cs-491-stl-b-highs-and-lows,augale2,100.0
cs-491-stl-c-smartphone,augale2,100.0
cs-491-stl-a-radio-station,rohitmb2,100.0
cs-491-stl-b-highs-and-lows,rohitmb2,100.0
cs-491-stl-c-smartphone,rohitmb2,100.0
cs-491-stl-a-radio-station,vismays2,100.0
cs-491-stl-b-highs-and-lows,vismays2,100.0
cs-491-stl-c-smartphone,vismays2,100.0
cs-491-stl-a-radio-station,pps6,100.0
cs-491-stl-b-highs-and-lows,pps6,100.0
cs-491-stl-c-smartphone,pps6,100.0
cs-491-stl-a-radio-station,jeremy19,100.0
cs-491-stl-b-highs-and-lows,jeremy19,100.0
cs-491-stl-c-smartphone,jeremy19,100.0
cs-491-stl-a-radio-station,pk46,100.0
cs-491-stl-b-highs-and-lows,pk46,100.0
cs-491-stl-c-smartphone,pk46,100.0
cs-491-stl-a-radio-station,ashwath6,100.0
cs-491-stl-b-highs-and-lows,ashwath6,100.0
cs-491-stl-c-smartphone,ashwath6,100.0
cs-491-stl-a-radio-station,peiyuan3,100.0
cs-491-stl-b-highs-and-lows,peiyuan3,100.0
cs-491-stl-c-smartphone,peiyuan3,100.0
cs-491-stl-a-radio-station,rkmohan2,100.0
cs-491-stl-b-highs-and-lows,rkmohan2,100.0
cs-491-stl-c-smartphone,rkmohan2,100.0
cs-491-stl-a-radio-station,anupamd2,100.0
cs-491-stl-b-highs-and-lows,anupamd2,100.0
cs-491-stl-c-smartphone,anupamd2,100.0
cs-491-stl-a-radio-station,hali53,100.0
cs-491-stl-b-highs-and-lows,hali53,100.0
cs-491-stl-c-smartphone,hali53,100.0
cs-491-stl-a-radio-station,tvm3,100.0
cs-491-stl-b-highs-and-lows,tvm3,100.0
cs-491-stl-c-smartphone,tvm3,100.0
cs-491-stl-a-radio-station,sgandhi,100.0
cs-491-stl-b-highs-and-lows,sgandhi,100.0
cs-491-stl-c-smartphone,sgandhi,100.0
cs-491-stl-a-radio-station,zhan32,100.0
cs-491-stl-b-highs-and-lows,zhan32,100.0
cs-491-stl-c-smartphone,zhan32,100.0
cs-491-stl-a-radio-station,nishkdp2,100.0
