slug,netid,score
cs-491-complete-search-a-placing-queens,sawanoi2,100.0
cs-491-complete-search-b-slay-the-boss,sawanoi2,100.0
cs-491-complete-search-c-teaming-,sawanoi2,100.0
cs-491-complete-search-d-ordering-pizza,sawanoi2,100.0
cs-491-complete-search-a-placing-queens,aayush8,100.0
cs-491-complete-search-b-slay-the-boss,aayush8,100.0
cs-491-complete-search-c-teaming-,aayush8,100.0
cs-491-complete-search-d-ordering-pizza,aayush8,100.0
cs-491-complete-search-a-placing-queens,gracewz2,100.0
cs-491-complete-search-b-slay-the-boss,gracewz2,100.0
cs-491-complete-search-c-teaming-,gracewz2,100.0
cs-491-complete-search-d-ordering-pizza,gracewz2,100.0
cs-491-complete-search-a-placing-queens,cychen6,100.0
cs-491-complete-search-b-slay-the-boss,cychen6,100.0
cs-491-complete-search-c-teaming-,cychen6,100.0
cs-491-complete-search-d-ordering-pizza,cychen6,100.0
cs-491-complete-search-a-placing-queens,rrfang2,100.0
cs-491-complete-search-b-slay-the-boss,rrfang2,100.0
cs-491-complete-search-c-teaming-,rrfang2,100.0
cs-491-complete-search-d-ordering-pizza,rrfang2,100.0
cs-491-complete-search-a-placing-queens,zihengc2,100.0
cs-491-complete-search-b-slay-the-boss,zihengc2,100.0
cs-491-complete-search-c-teaming-,zihengc2,100.0
cs-491-complete-search-d-ordering-pizza,zihengc2,100.0
cs-491-complete-search-a-placing-queens,peiyuan3,100.0
cs-491-complete-search-b-slay-the-boss,peiyuan3,100.0
cs-491-complete-search-c-teaming-,peiyuan3,100.0
cs-491-complete-search-d-ordering-pizza,peiyuan3,100.0
cs-491-complete-search-a-placing-queens,sdonty2,100.0
cs-491-complete-search-b-slay-the-boss,sdonty2,100.0
cs-491-complete-search-c-teaming-,sdonty2,100.0
cs-491-complete-search-d-ordering-pizza,sdonty2,100.0
cs-491-complete-search-a-placing-queens,kasink2,100.0
cs-491-complete-search-b-slay-the-boss,kasink2,100.0
cs-491-complete-search-c-teaming-,kasink2,100.0
cs-491-complete-search-d-ordering-pizza,kasink2,100.0
cs-491-complete-search-a-placing-queens,gauravr2,100.0
cs-491-complete-search-b-slay-the-boss,gauravr2,100.0
cs-491-complete-search-c-teaming-,gauravr2,100.0
cs-491-complete-search-d-ordering-pizza,gauravr2,100.0
cs-491-complete-search-a-placing-queens,esliu3,100.0
cs-491-complete-search-b-slay-the-boss,esliu3,100.0
cs-491-complete-search-c-teaming-,esliu3,100.0
cs-491-complete-search-d-ordering-pizza,esliu3,100.0
cs-491-complete-search-a-placing-queens,anupamd2,100.0
cs-491-complete-search-b-slay-the-boss,anupamd2,100.0
