slug,netid,score
cs-491-divide-and-conquer-a-higher-or-lower,sawanoi2,100.0
cs-491-divide-and-conquer-b-delicious-pizzas-,sawanoi2,100.0
cs-491-divide-and-conquer-c-red-black-tree,sawanoi2,100.0
cs-491-divide-and-conquer-d-letianpie-loves-playing-games,sawanoi2,100.0
cs-491-divide-and-conquer-a-higher-or-lower,aayush8,100.0
cs-491-divide-and-conquer-b-delicious-pizzas-,aayush8,100.0
cs-491-divide-and-conquer-c-red-black-tree,aayush8,100.0
cs-491-divide-and-conquer-d-letianpie-loves-playing-games,aayush8,100.0
cs-491-divide-and-conquer-a-higher-or-lower,gauravr2,100.0
cs-491-divide-and-conquer-b-delicious-pizzas-,gauravr2,100.0
cs-491-divide-and-conquer-c-red-black-tree,gauravr2,100.0
cs-491-divide-and-conquer-d-letianpie-loves-playing-games,gauravr2,100.0
cs-491-divide-and-conquer-a-higher-or-lower,rrfang2,100.0
cs-491-divide-and-conquer-b-delicious-pizzas-,rrfang2,100.0
cs-491-divide-and-conquer-c-red-black-tree,rrfang2,100.0
cs-491-divide-and-conquer-d-letianpie-loves-playing-games,rrfang2,100.0
cs-491-divide-and-conquer-a-higher-or-lower,gracewz2,100.0
cs-491-divide-and-conquer-b-delicious-pizzas-,gracewz2,100.0
cs-491-divide-and-conquer-c-red-black-tree,gracewz2,100.0
cs-491-divide-and-conquer-d-letianpie-loves-playing-games,gracewz2,100.0
cs-491-divide-and-conquer-a-higher-or-lower,dylanad2,100.0
cs-491-divide-and-conquer-b-delicious-pizzas-,dylanad2,100.0
cs-491-divide-and-conquer-c-red-black-tree,dylanad2,100.0
cs-491-divide-and-conquer-d-letianpie-loves-playing-games,dylanad2,100.0
cs-491-divide-and-conquer-a-higher-or-lower,cychen6,100.0
cs-491-divide-and-conquer-b-delicious-pizzas-,cychen6,100.0
cs-491-divide-and-conquer-c-red-black-tree,cychen6,100.0
cs-491-divide-and-conquer-d-letianpie-loves-playing-games,cychen6,100.0
cs-491-divide-and-conquer-a-higher-or-lower,kasink2,100.0
cs-491-divide-and-conquer-b-delicious-pizzas-,kasink2,100.0
cs-491-divide-and-conquer-c-red-black-tree,kasink2,100.0
cs-491-divide-and-conquer-d-letianpie-loves-playing-games,kasink2,100.0
cs-491-divide-and-conquer-a-higher-or-lower,augale2,100.0
cs-491-divide-and-conquer-b-delicious-pizzas-,augale2,100.0
cs-491-divide-and-conquer-c-red-black-tree,augale2,100.0
cs-491-divide-and-conquer-d-letianpie-loves-playing-games,augale2,100.0
cs-491-divide-and-conquer-a-higher-or-lower,peiyuan3,100.0
cs-491-divide-and-conquer-b-delicious-pizzas-,peiyuan3,100.0
cs-491-divide-and-conquer-c-red-black-tree,peiyuan3,100.0
cs-491-divide-and-conquer-d-letianpie-loves-playing-games,peiyuan3,100.0
cs-491-divide-and-conquer-a-higher-or-lower,akhot2,100.0
cs-491-divide-and-conquer-b-delicious-pizzas-,akhot2,100.0
cs-491-divide-and-conquer-c-red-black-tree,akhot2,100.0
cs-491-divide-and-conquer-d-letianpie-loves-playing-games,akhot2,100.0
cs-491-divide-and-conquer-a-higher-or-lower,zihengc2,100.0
cs-491-divide-and-conquer-b-delicious-pizzas-,zihengc2,100.0
cs-491-divide-and-conquer-c-red-black-tree,zihengc2,100.0
cs-491-divide-and-conquer-d-letianpie-loves-playing-games,zihengc2,100.0
cs-491-divide-and-conquer-a-higher-or-lower,pps6,100.0
cs-491-divide-and-conquer-b-delicious-pizzas-,pps6,100.0
cs-491-divide-and-conquer-c-red-black-tree,pps6,100.0
cs-491-divide-and-conquer-d-letianpie-loves-playing-games,pps6,100.0
cs-491-divide-and-conquer-a-higher-or-lower,jeremy19,100.0
cs-491-divide-and-conquer-b-delicious-pizzas-,jeremy19,100.0
cs-491-divide-and-conquer-c-red-black-tree,jeremy19,100.0
cs-491-divide-and-conquer-d-letianpie-loves-playing-games,jeremy19,100.0
cs-491-divide-and-conquer-a-higher-or-lower,anupamd2,100.0
cs-491-divide-and-conquer-b-delicious-pizzas-,anupamd2,100.0
cs-491-divide-and-conquer-c-red-black-tree,anupamd2,100.0
cs-491-divide-and-conquer-d-letianpie-loves-playing-games,anupamd2,100.0
cs-491-divide-and-conquer-a-higher-or-lower,jacobak3,100.0
cs-491-divide-and-conquer-b-delicious-pizzas-,jacobak3,100.0
cs-491-divide-and-conquer-c-red-black-tree,jacobak3,100.0
cs-491-divide-and-conquer-d-letianpie-loves-playing-games,jacobak3,100.0
cs-491-divide-and-conquer-a-higher-or-lower,nuoxing2,100.0
cs-491-divide-and-conquer-b-delicious-pizzas-,nuoxing2,100.0
cs-491-divide-and-conquer-c-red-black-tree,nuoxing2,100.0
cs-491-divide-and-conquer-d-letianpie-loves-playing-games,nuoxing2,100.0
cs-491-divide-and-conquer-a-higher-or-lower,tvm3,100.0
cs-491-divide-and-conquer-b-delicious-pizzas-,tvm3,100.0
cs-491-divide-and-conquer-c-red-black-tree,tvm3,100.0
cs-491-divide-and-conquer-d-letianpie-loves-playing-games,tvm3,100.0
