slug,netid,score
cs-491-binary-search-trees-a-node-sums,sawanoi2,100.0
cs-491-binary-search-trees-b-building-trees,sawanoi2,100.0
cs-491-binary-search-trees-c-tree-coloring,sawanoi2,100.0
cs-491-binary-search-trees-a-node-sums,cychen6,100.0
cs-491-binary-search-trees-b-building-trees,cychen6,100.0
cs-491-binary-search-trees-c-tree-coloring,cychen6,100.0
cs-491-binary-search-trees-a-node-sums,gracewz2,100.0
cs-491-binary-search-trees-b-building-trees,gracewz2,100.0
cs-491-binary-search-trees-c-tree-coloring,gracewz2,100.0
cs-491-binary-search-trees-a-node-sums,rrfang2,100.0
cs-491-binary-search-trees-b-building-trees,rrfang2,100.0
cs-491-binary-search-trees-c-tree-coloring,rrfang2,100.0
cs-491-binary-search-trees-a-node-sums,aayush8,100.0
cs-491-binary-search-trees-b-building-trees,aayush8,100.0
cs-491-binary-search-trees-c-tree-coloring,aayush8,100.0
cs-491-binary-search-trees-a-node-sums,nuoxing2,100.0
cs-491-binary-search-trees-b-building-trees,nuoxing2,100.0
cs-491-binary-search-trees-c-tree-coloring,nuoxing2,100.0
cs-491-binary-search-trees-a-node-sums,akhot2,100.0
cs-491-binary-search-trees-b-building-trees,akhot2,100.0
cs-491-binary-search-trees-c-tree-coloring,akhot2,100.0
cs-491-binary-search-trees-a-node-sums,zihengc2,100.0
cs-491-binary-search-trees-b-building-trees,zihengc2,100.0
cs-491-binary-search-trees-c-tree-coloring,zihengc2,100.0
cs-491-binary-search-trees-a-node-sums,gauravr2,100.0
cs-491-binary-search-trees-b-building-trees,gauravr2,100.0
cs-491-binary-search-trees-c-tree-coloring,gauravr2,100.0
cs-491-binary-search-trees-a-node-sums,anupamd2,100.0
cs-491-binary-search-trees-b-building-trees,anupamd2,100.0
cs-491-binary-search-trees-c-tree-coloring,anupamd2,100.0
cs-491-binary-search-trees-a-node-sums,jacobak3,100.0
cs-491-binary-search-trees-b-building-trees,jacobak3,100.0
cs-491-binary-search-trees-c-tree-coloring,jacobak3,100.0
cs-491-binary-search-trees-a-node-sums,augale2,100.0
cs-491-binary-search-trees-b-building-trees,augale2,100.0
cs-491-binary-search-trees-c-tree-coloring,augale2,100.0
cs-491-binary-search-trees-a-node-sums,tvm3,100.0
cs-491-binary-search-trees-b-building-trees,tvm3,100.0
cs-491-binary-search-trees-c-tree-coloring,tvm3,100.0
cs-491-binary-search-trees-a-node-sums,dylanad2,100.0
cs-491-binary-search-trees-b-building-trees,dylanad2,100.0
cs-491-binary-search-trees-c-tree-coloring,dylanad2,100.0
cs-491-binary-search-trees-a-node-sums,rohitmb2,100.0
cs-491-binary-search-trees-b-building-trees,rohitmb2,100.0
cs-491-binary-search-trees-c-tree-coloring,rohitmb2,100.0
cs-491-binary-search-trees-a-node-sums,baoyuan2,100.0
cs-491-binary-search-trees-b-building-trees,baoyuan2,100.0
cs-491-binary-search-trees-c-tree-coloring,baoyuan2,100.0
cs-491-binary-search-trees-a-node-sums,akuma29,100.0
cs-491-binary-search-trees-b-building-trees,akuma29,100.0
cs-491-binary-search-trees-c-tree-coloring,akuma29,100.0
cs-491-binary-search-trees-a-node-sums,pps6,100.0
cs-491-binary-search-trees-b-building-trees,pps6,0.0
cs-491-binary-search-trees-c-tree-coloring,pps6,100.0
cs-491-binary-search-trees-a-node-sums,jeremy19,100.0
cs-491-binary-search-trees-b-building-trees,jeremy19,100.0
cs-491-binary-search-trees-c-tree-coloring,jeremy19,0.0
cs-491-binary-search-trees-a-node-sums,kasink2,100.0
cs-491-binary-search-trees-b-building-trees,kasink2,0.0
cs-491-binary-search-trees-c-tree-coloring,kasink2,100.0
cs-491-binary-search-trees-a-node-sums,peiyuan3,100.0
cs-491-binary-search-trees-b-building-trees,peiyuan3,100.0
cs-491-binary-search-trees-c-tree-coloring,peiyuan3,0.0
cs-491-binary-search-trees-a-node-sums,sdonty2,100.0
cs-491-binary-search-trees-b-building-trees,sdonty2,100.0
cs-491-binary-search-trees-c-tree-coloring,sdonty2,0.0
cs-491-binary-search-trees-a-node-sums,eeho2,100.0
cs-491-binary-search-trees-b-building-trees,eeho2,100.0
cs-491-binary-search-trees-c-tree-coloring,eeho2,0.0
cs-491-binary-search-trees-a-node-sums,sgandhi,100.0
cs-491-binary-search-trees-b-building-trees,sgandhi,100.0
cs-491-binary-search-trees-c-tree-coloring,sgandhi,0.0
cs-491-binary-search-trees-a-node-sums,rajasg2,100.0
cs-491-binary-search-trees-b-building-trees,rajasg2,100.0
cs-491-binary-search-trees-c-tree-coloring,rajasg2,0.0
cs-491-binary-search-trees-a-node-sums,pskalle2,100.0
cs-491-binary-search-trees-b-building-trees,pskalle2,100.0
cs-491-binary-search-trees-c-tree-coloring,pskalle2,0.0
