slug,netid,score
cs-491-disjoint-sets-a-bipartite,sawanoi2,100.0
cs-491-disjoint-sets-b-fountains,sawanoi2,100.0
cs-491-disjoint-sets-c-password-reconstruction,sawanoi2,100.0
cs-491-disjoint-sets-a-bipartite,aayush8,100.0
cs-491-disjoint-sets-b-fountains,aayush8,100.0
cs-491-disjoint-sets-c-password-reconstruction,aayush8,100.0
cs-491-disjoint-sets-a-bipartite,cychen6,100.0
cs-491-disjoint-sets-b-fountains,cychen6,100.0
cs-491-disjoint-sets-c-password-reconstruction,cychen6,100.0
cs-491-disjoint-sets-a-bipartite,nuoxing2,100.0
cs-491-disjoint-sets-b-fountains,nuoxing2,100.0
cs-491-disjoint-sets-c-password-reconstruction,nuoxing2,100.0
cs-491-disjoint-sets-a-bipartite,kasink2,100.0
cs-491-disjoint-sets-b-fountains,kasink2,100.0
cs-491-disjoint-sets-c-password-reconstruction,kasink2,100.0
cs-491-disjoint-sets-a-bipartite,akhot2,100.0
cs-491-disjoint-sets-b-fountains,akhot2,100.0
cs-491-disjoint-sets-c-password-reconstruction,akhot2,100.0
cs-491-disjoint-sets-a-bipartite,dylanad2,100.0
cs-491-disjoint-sets-b-fountains,dylanad2,100.0
cs-491-disjoint-sets-c-password-reconstruction,dylanad2,100.0
cs-491-disjoint-sets-a-bipartite,eeho2,100.0
cs-491-disjoint-sets-b-fountains,eeho2,100.0
cs-491-disjoint-sets-c-password-reconstruction,eeho2,100.0
cs-491-disjoint-sets-a-bipartite,baoyuan2,100.0
cs-491-disjoint-sets-b-fountains,baoyuan2,100.0
cs-491-disjoint-sets-c-password-reconstruction,baoyuan2,100.0
cs-491-disjoint-sets-a-bipartite,pps6,100.0
cs-491-disjoint-sets-b-fountains,pps6,100.0
cs-491-disjoint-sets-c-password-reconstruction,pps6,100.0
cs-491-disjoint-sets-a-bipartite,pk46,100.0
cs-491-disjoint-sets-b-fountains,pk46,100.0
cs-491-disjoint-sets-c-password-reconstruction,pk46,100.0
cs-491-disjoint-sets-a-bipartite,akuma29,100.0
cs-491-disjoint-sets-b-fountains,akuma29,100.0
cs-491-disjoint-sets-c-password-reconstruction,akuma29,100.0
cs-491-disjoint-sets-a-bipartite,tvm3,100.0
cs-491-disjoint-sets-b-fountains,tvm3,100.0
cs-491-disjoint-sets-c-password-reconstruction,tvm3,100.0
cs-491-disjoint-sets-a-bipartite,ashwath6,100.0
cs-491-disjoint-sets-b-fountains,ashwath6,100.0
cs-491-disjoint-sets-c-password-reconstruction,ashwath6,100.0
cs-491-disjoint-sets-a-bipartite,rohitmb2,100.0
cs-491-disjoint-sets-b-fountains,rohitmb2,100.0
cs-491-disjoint-sets-c-password-reconstruction,rohitmb2,100.0
cs-491-disjoint-sets-a-bipartite,jeremy19,100.0
cs-491-disjoint-sets-b-fountains,jeremy19,100.0
cs-491-disjoint-sets-c-password-reconstruction,jeremy19,100.0
cs-491-disjoint-sets-a-bipartite,gauravr2,100.0
cs-491-disjoint-sets-b-fountains,gauravr2,100.0
cs-491-disjoint-sets-c-password-reconstruction,gauravr2,100.0
cs-491-disjoint-sets-a-bipartite,smudili2,100.0
cs-491-disjoint-sets-b-fountains,smudili2,100.0
cs-491-disjoint-sets-c-password-reconstruction,smudili2,100.0
cs-491-disjoint-sets-a-bipartite,geda2,100.0
cs-491-disjoint-sets-b-fountains,geda2,100.0
cs-491-disjoint-sets-c-password-reconstruction,geda2,100.0
cs-491-disjoint-sets-a-bipartite,peiyuan3,100.0
cs-491-disjoint-sets-b-fountains,peiyuan3,100.0
cs-491-disjoint-sets-c-password-reconstruction,peiyuan3,0.0
cs-491-disjoint-sets-a-bipartite,anupamd2,100.0
cs-491-disjoint-sets-b-fountains,anupamd2,100.0
cs-491-disjoint-sets-c-password-reconstruction,anupamd2,0.0
cs-491-disjoint-sets-a-bipartite,rrfang2,100.0
cs-491-disjoint-sets-b-fountains,rrfang2,100.0
cs-491-disjoint-sets-c-password-reconstruction,rrfang2,0.0
cs-491-disjoint-sets-a-bipartite,jacobak3,100.0
cs-491-disjoint-sets-b-fountains,jacobak3,100.0
cs-491-disjoint-sets-c-password-reconstruction,jacobak3,0.0
cs-491-disjoint-sets-a-bipartite,zihengc2,100.0
cs-491-disjoint-sets-b-fountains,zihengc2,100.0
cs-491-disjoint-sets-c-password-reconstruction,zihengc2,0.0
cs-491-disjoint-sets-a-bipartite,augale2,100.0
cs-491-disjoint-sets-b-fountains,augale2,100.0
cs-491-disjoint-sets-c-password-reconstruction,augale2,0.0
cs-491-disjoint-sets-a-bipartite,arjit2,100.0
cs-491-disjoint-sets-b-fountains,arjit2,100.0
cs-491-disjoint-sets-c-password-reconstruction,arjit2,0.0
cs-491-disjoint-sets-a-bipartite,mihirs2,100.0
cs-491-disjoint-sets-b-fountains,mihirs2,100.0
cs-491-disjoint-sets-c-password-reconstruction,mihirs2,0.0
cs-491-disjoint-sets-a-bipartite,riab2,100.0
cs-491-disjoint-sets-b-fountains,riab2,100.0
cs-491-disjoint-sets-c-password-reconstruction,riab2,0.0
cs-491-disjoint-sets-a-bipartite,sgandhi,100.0
cs-491-disjoint-sets-b-fountains,sgandhi,100.0
cs-491-disjoint-sets-c-password-reconstruction,sgandhi,0.0
cs-491-disjoint-sets-a-bipartite,nishkdp2,100.0
cs-491-disjoint-sets-b-fountains,nishkdp2,100.0
cs-491-disjoint-sets-c-password-reconstruction,nishkdp2,0.0
cs-491-disjoint-sets-a-bipartite,aashayd2,100.0
cs-491-disjoint-sets-b-fountains,aashayd2,100.0
cs-491-disjoint-sets-c-password-reconstruction,aashayd2,0.0
cs-491-disjoint-sets-a-bipartite,gracewz2,100.0
cs-491-disjoint-sets-b-fountains,gracewz2,0.0
cs-491-disjoint-sets-c-password-reconstruction,gracewz2,0.0
cs-491-disjoint-sets-a-bipartite,hali53,100.0
cs-491-disjoint-sets-b-fountains,hali53,0.0
cs-491-disjoint-sets-c-password-reconstruction,hali53,0.0
cs-491-disjoint-sets-a-bipartite,pskalle2,100.0
cs-491-disjoint-sets-b-fountains,pskalle2,0.0
cs-491-disjoint-sets-c-password-reconstruction,pskalle2,0.0
cs-491-disjoint-sets-a-bipartite,shopp7,100.0
cs-491-disjoint-sets-b-fountains,shopp7,0.0
cs-491-disjoint-sets-c-password-reconstruction,shopp7,0.0
cs-491-disjoint-sets-a-bipartite,kona2,100.0
cs-491-disjoint-sets-b-fountains,kona2,0.0
cs-491-disjoint-sets-c-password-reconstruction,kona2,0.0
cs-491-disjoint-sets-a-bipartite,rajasg2,100.0
cs-491-disjoint-sets-b-fountains,rajasg2,0.0
cs-491-disjoint-sets-c-password-reconstruction,rajasg2,0.0
cs-491-disjoint-sets-a-bipartite,sdonty2,100.0
cs-491-disjoint-sets-b-fountains,sdonty2,0.0
cs-491-disjoint-sets-c-password-reconstruction,sdonty2,0.0
