slug,netid,score
cs-491-basic-graphs-a-network-topology,ashwath6,100.0
cs-491-basic-graphs-b-bus,ashwath6,100.0
cs-491-basic-graphs-c-functional-graphs,ashwath6,100.0
cs-491-basic-graphs-d-communicating-between-mountains,ashwath6,100.0
cs-491-basic-graphs-a-network-topology,cychen6,100.0
cs-491-basic-graphs-b-bus,cychen6,100.0
cs-491-basic-graphs-c-functional-graphs,cychen6,100.0
cs-491-basic-graphs-d-communicating-between-mountains,cychen6,100.0
cs-491-basic-graphs-a-network-topology,akhot2,100.0
cs-491-basic-graphs-b-bus,akhot2,100.0
cs-491-basic-graphs-c-functional-graphs,akhot2,100.0
cs-491-basic-graphs-d-communicating-between-mountains,akhot2,100.0
cs-491-basic-graphs-a-network-topology,pps6,100.0
cs-491-basic-graphs-b-bus,pps6,100.0
cs-491-basic-graphs-c-functional-graphs,pps6,100.0
cs-491-basic-graphs-d-communicating-between-mountains,pps6,100.0
cs-491-basic-graphs-a-network-topology,pk46,100.0
cs-491-basic-graphs-b-bus,pk46,100.0
cs-491-basic-graphs-c-functional-graphs,pk46,100.0
cs-491-basic-graphs-d-communicating-between-mountains,pk46,100.0
cs-491-basic-graphs-a-network-topology,rrfang2,100.0
cs-491-basic-graphs-b-bus,rrfang2,100.0
cs-491-basic-graphs-c-functional-graphs,rrfang2,100.0
cs-491-basic-graphs-d-communicating-between-mountains,rrfang2,100.0
cs-491-basic-graphs-a-network-topology,tvm3,100.0
cs-491-basic-graphs-b-bus,tvm3,100.0
cs-491-basic-graphs-c-functional-graphs,tvm3,100.0
cs-491-basic-graphs-d-communicating-between-mountains,tvm3,100.0
cs-491-basic-graphs-a-network-topology,gauravr2,100.0
cs-491-basic-graphs-b-bus,gauravr2,100.0
cs-491-basic-graphs-c-functional-graphs,gauravr2,100.0
cs-491-basic-graphs-d-communicating-between-mountains,gauravr2,100.0
cs-491-basic-graphs-a-network-topology,shopp7,100.0
cs-491-basic-graphs-b-bus,shopp7,100.0
cs-491-basic-graphs-c-functional-graphs,shopp7,100.0
cs-491-basic-graphs-d-communicating-between-mountains,shopp7,100.0
cs-491-basic-graphs-a-network-topology,rohitmb2,100.0
cs-491-basic-graphs-b-bus,rohitmb2,100.0
cs-491-basic-graphs-c-functional-graphs,rohitmb2,100.0
cs-491-basic-graphs-d-communicating-between-mountains,rohitmb2,100.0
cs-491-basic-graphs-a-network-topology,rkmohan2,100.0
cs-491-basic-graphs-b-bus,rkmohan2,100.0
cs-491-basic-graphs-c-functional-graphs,rkmohan2,100.0
cs-491-basic-graphs-d-communicating-between-mountains,rkmohan2,100.0
cs-491-basic-graphs-a-network-topology,nishkdp2,100.0
cs-491-basic-graphs-b-bus,nishkdp2,100.0
cs-491-basic-graphs-c-functional-graphs,nishkdp2,100.0
cs-491-basic-graphs-d-communicating-between-mountains,nishkdp2,100.0
cs-491-basic-graphs-a-network-topology,kona2,100.0
cs-491-basic-graphs-b-bus,kona2,100.0
cs-491-basic-graphs-c-functional-graphs,kona2,100.0
cs-491-basic-graphs-d-communicating-between-mountains,kona2,100.0
cs-491-basic-graphs-a-network-topology,geda2,100.0
cs-491-basic-graphs-b-bus,geda2,100.0
cs-491-basic-graphs-c-functional-graphs,geda2,100.0
cs-491-basic-graphs-d-communicating-between-mountains,geda2,100.0
cs-491-basic-graphs-a-network-topology,smudili2,100.0
cs-491-basic-graphs-b-bus,smudili2,100.0
