slug,netid,score
cs-491-traversal-problems-a-personal-ai,gracewz2,100.0
cs-491-traversal-problems-b-more-pizza-,gracewz2,100.0
cs-491-traversal-problems-a-personal-ai,pps6,100.0
cs-491-traversal-problems-b-more-pizza-,pps6,100.0
cs-491-traversal-problems-a-personal-ai,peiyuan3,100.0
cs-491-traversal-problems-b-more-pizza-,peiyuan3,100.0
cs-491-traversal-problems-a-personal-ai,nuoxing2,100.0
cs-491-traversal-problems-b-more-pizza-,nuoxing2,100.0
cs-491-traversal-problems-a-personal-ai,aayush8,100.0
cs-491-traversal-problems-b-more-pizza-,aayush8,100.0
cs-491-traversal-problems-a-personal-ai,jacobak3,100.0
cs-491-traversal-problems-b-more-pizza-,jacobak3,100.0
cs-491-traversal-problems-a-personal-ai,gauravr2,100.0
cs-491-traversal-problems-b-more-pizza-,gauravr2,100.0
cs-491-traversal-problems-a-personal-ai,rohitmb2,100.0
cs-491-traversal-problems-b-more-pizza-,rohitmb2,100.0
cs-491-traversal-problems-a-personal-ai,tvm3,100.0
cs-491-traversal-problems-b-more-pizza-,tvm3,100.0
cs-491-traversal-problems-a-personal-ai,pk46,100.0
cs-491-traversal-problems-b-more-pizza-,pk46,100.0
cs-491-traversal-problems-a-personal-ai,zihengc2,100.0
cs-491-traversal-problems-b-more-pizza-,zihengc2,100.0
cs-491-traversal-problems-a-personal-ai,nishkdp2,100.0
cs-491-traversal-problems-b-more-pizza-,nishkdp2,100.0
cs-491-traversal-problems-a-personal-ai,cychen6,100.0
cs-491-traversal-problems-b-more-pizza-,cychen6,100.0
cs-491-traversal-problems-a-personal-ai,sgandhi,100.0
cs-491-traversal-problems-b-more-pizza-,sgandhi,100.0
cs-491-traversal-problems-a-personal-ai,anupamd2,100.0
cs-491-traversal-problems-b-more-pizza-,anupamd2,100.0
cs-491-traversal-problems-a-personal-ai,rrfang2,100.0
cs-491-traversal-problems-b-more-pizza-,rrfang2,100.0
cs-491-traversal-problems-a-personal-ai,zhan32,100.0
cs-491-traversal-problems-b-more-pizza-,zhan32,100.0
cs-491-traversal-problems-a-personal-ai,rajasg2,100.0
cs-491-traversal-problems-b-more-pizza-,rajasg2,100.0
cs-491-traversal-problems-a-personal-ai,eeho2,100.0
cs-491-traversal-problems-b-more-pizza-,eeho2,100.0
cs-491-traversal-problems-a-personal-ai,ashwath6,100.0
cs-491-traversal-problems-b-more-pizza-,ashwath6,100.0
cs-491-traversal-problems-a-personal-ai,vismays2,100.0
cs-491-traversal-problems-b-more-pizza-,vismays2,100.0
cs-491-traversal-problems-a-personal-ai,esliu3,100.0
cs-491-traversal-problems-b-more-pizza-,esliu3,100.0
cs-491-traversal-problems-a-personal-ai,smudili2,100.0
cs-491-traversal-problems-b-more-pizza-,smudili2,100.0
cs-491-traversal-problems-a-personal-ai,kona2,100.0
cs-491-traversal-problems-b-more-pizza-,kona2,100.0
cs-491-traversal-problems-a-personal-ai,rkmohan2,100.0
cs-491-traversal-problems-b-more-pizza-,rkmohan2,100.0
cs-491-traversal-problems-a-personal-ai,hali53,100.0
cs-491-traversal-problems-b-more-pizza-,hali53,100.0
cs-491-traversal-problems-a-personal-ai,geda2,100.0
cs-491-traversal-problems-b-more-pizza-,geda2,100.0
cs-491-traversal-problems-a-personal-ai,kasink2,100.0
cs-491-traversal-problems-b-more-pizza-,kasink2,0.0
cs-491-traversal-problems-a-personal-ai,akhot2,100.0
cs-491-traversal-problems-b-more-pizza-,akhot2,0.0
cs-491-traversal-problems-a-personal-ai,jeremy19,100.0
cs-491-traversal-problems-b-more-pizza-,jeremy19,0.0
cs-491-traversal-problems-a-personal-ai,akuma29,100.0
cs-491-traversal-problems-b-more-pizza-,akuma29,0.0
cs-491-traversal-problems-a-personal-ai,wentaol4,100.0
cs-491-traversal-problems-b-more-pizza-,wentaol4,0.0
cs-491-traversal-problems-a-personal-ai,adelias2,100.0
cs-491-traversal-problems-b-more-pizza-,adelias2,0.0
cs-491-traversal-problems-a-personal-ai,arjit2,100.0
cs-491-traversal-problems-b-more-pizza-,arjit2,0.0
cs-491-traversal-problems-a-personal-ai,augale2,100.0
cs-491-traversal-problems-b-more-pizza-,augale2,0.0
cs-491-traversal-problems-a-personal-ai,sdonty2,100.0
cs-491-traversal-problems-b-more-pizza-,sdonty2,0.0
cs-491-traversal-problems-a-personal-ai,aashayd2,100.0
cs-491-traversal-problems-b-more-pizza-,aashayd2,0.0
cs-491-traversal-problems-a-personal-ai,dylanad2,100.0
cs-491-traversal-problems-b-more-pizza-,dylanad2,0.0
cs-491-traversal-problems-a-personal-ai,mihirs2,100.0
cs-491-traversal-problems-b-more-pizza-,mihirs2,0.0
cs-491-traversal-problems-a-personal-ai,pskalle2,0.0
cs-491-traversal-problems-b-more-pizza-,pskalle2,0.0
cs-491-traversal-problems-a-personal-ai,anniet5,0.0
cs-491-traversal-problems-b-more-pizza-,anniet5,0.0
