slug,netid,score
cs-491-data-structures-binary-lifting-a-char-s-schedule,nuoxing2,100.0
cs-491-data-structures-binary-lifting-b-don-t-you-just-want-that-edge,nuoxing2,100.0
cs-491-data-structures-binary-lifting-a-char-s-schedule,peiyuan3,100.0
cs-491-data-structures-binary-lifting-b-don-t-you-just-want-that-edge,peiyuan3,100.0
cs-491-data-structures-binary-lifting-a-char-s-schedule,aayush8,100.0
cs-491-data-structures-binary-lifting-b-don-t-you-just-want-that-edge,aayush8,100.0
cs-491-data-structures-binary-lifting-a-char-s-schedule,cychen6,100.0
cs-491-data-structures-binary-lifting-b-don-t-you-just-want-that-edge,cychen6,100.0
cs-491-data-structures-binary-lifting-a-char-s-schedule,pk46,100.0
cs-491-data-structures-binary-lifting-b-don-t-you-just-want-that-edge,pk46,100.0
cs-491-data-structures-binary-lifting-a-char-s-schedule,akhot2,100.0
cs-491-data-structures-binary-lifting-b-don-t-you-just-want-that-edge,akhot2,100.0
cs-491-data-structures-binary-lifting-a-char-s-schedule,jacobak3,100.0
cs-491-data-structures-binary-lifting-b-don-t-you-just-want-that-edge,jacobak3,100.0
cs-491-data-structures-binary-lifting-a-char-s-schedule,pps6,100.0
cs-491-data-structures-binary-lifting-b-don-t-you-just-want-that-edge,pps6,100.0
cs-491-data-structures-binary-lifting-a-char-s-schedule,vismays2,100.0
cs-491-data-structures-binary-lifting-b-don-t-you-just-want-that-edge,vismays2,100.0
cs-491-data-structures-binary-lifting-a-char-s-schedule,esliu3,100.0
cs-491-data-structures-binary-lifting-b-don-t-you-just-want-that-edge,esliu3,100.0
cs-491-data-structures-binary-lifting-a-char-s-schedule,rkmohan2,100.0
cs-491-data-structures-binary-lifting-b-don-t-you-just-want-that-edge,rkmohan2,100.0
cs-491-data-structures-binary-lifting-a-char-s-schedule,tvm3,100.0
cs-491-data-structures-binary-lifting-b-don-t-you-just-want-that-edge,tvm3,100.0
cs-491-data-structures-binary-lifting-a-char-s-schedule,ashwath6,100.0
cs-491-data-structures-binary-lifting-b-don-t-you-just-want-that-edge,ashwath6,100.0
cs-491-data-structures-binary-lifting-a-char-s-schedule,nishkdp2,100.0
cs-491-data-structures-binary-lifting-b-don-t-you-just-want-that-edge,nishkdp2,100.0
cs-491-data-structures-binary-lifting-a-char-s-schedule,akuma29,100.0
cs-491-data-structures-binary-lifting-b-don-t-you-just-want-that-edge,akuma29,100.0
cs-491-data-structures-binary-lifting-a-char-s-schedule,dylanad2,100.0
cs-491-data-structures-binary-lifting-b-don-t-you-just-want-that-edge,dylanad2,100.0
cs-491-data-structures-binary-lifting-a-char-s-schedule,zihengc2,100.0
cs-491-data-structures-binary-lifting-b-don-t-you-just-want-that-edge,zihengc2,100.0
cs-491-data-structures-binary-lifting-a-char-s-schedule,geda2,100.0
cs-491-data-structures-binary-lifting-b-don-t-you-just-want-that-edge,geda2,100.0
cs-491-data-structures-binary-lifting-a-char-s-schedule,smudili2,100.0
cs-491-data-structures-binary-lifting-b-don-t-you-just-want-that-edge,smudili2,100.0
cs-491-data-structures-binary-lifting-a-char-s-schedule,kona2,100.0
cs-491-data-structures-binary-lifting-b-don-t-you-just-want-that-edge,kona2,100.0
cs-491-data-structures-binary-lifting-a-char-s-schedule,aashayd2,100.0
cs-491-data-structures-binary-lifting-b-don-t-you-just-want-that-edge,aashayd2,0.0
cs-491-data-structures-binary-lifting-a-char-s-schedule,gauravr2,0.0
cs-491-data-structures-binary-lifting-b-don-t-you-just-want-that-edge,gauravr2,100.0
cs-491-data-structures-binary-lifting-a-char-s-schedule,jeremy19,100.0
cs-491-data-structures-binary-lifting-b-don-t-you-just-want-that-edge,jeremy19,0.0
cs-491-data-structures-binary-lifting-a-char-s-schedule,mihirs2,100.0
cs-491-data-structures-binary-lifting-b-don-t-you-just-want-that-edge,mihirs2,0.0
cs-491-data-structures-binary-lifting-a-char-s-schedule,sdonty2,100.0
cs-491-data-structures-binary-lifting-b-don-t-you-just-want-that-edge,sdonty2,0.0
cs-491-data-structures-binary-lifting-a-char-s-schedule,eeho2,0.0
cs-491-data-structures-binary-lifting-b-don-t-you-just-want-that-edge,eeho2,100.0
cs-491-data-structures-binary-lifting-a-char-s-schedule,rohitmb2,0.0
cs-491-data-structures-binary-lifting-b-don-t-you-just-want-that-edge,rohitmb2,100.0
cs-491-data-structures-binary-lifting-a-char-s-schedule,zhan32,0.0
cs-491-data-structures-binary-lifting-b-don-t-you-just-want-that-edge,zhan32,0.0
cs-491-data-structures-binary-lifting-a-char-s-schedule,pskalle2,0.0
cs-491-data-structures-binary-lifting-b-don-t-you-just-want-that-edge,pskalle2,0.0
cs-491-data-structures-binary-lifting-a-char-s-schedule,augale2,0.0
cs-491-data-structures-binary-lifting-b-don-t-you-just-want-that-edge,augale2,0.0
cs-491-data-structures-binary-lifting-a-char-s-schedule,arjit2,0.0
cs-491-data-structures-binary-lifting-b-don-t-you-just-want-that-edge,arjit2,0.0
cs-491-data-structures-binary-lifting-a-char-s-schedule,hali53,0.0
cs-491-data-structures-binary-lifting-b-don-t-you-just-want-that-edge,hali53,0.0
