slug,netid,score
cs-491-single-source-shortest-paths-a-rook-bishop-and-king,aayush8,100.0
cs-491-single-source-shortest-paths-b-match-strings,aayush8,100.0
cs-491-single-source-shortest-paths-c-biridian-forest,aayush8,100.0
cs-491-single-source-shortest-paths-a-rook-bishop-and-king,cychen6,100.0
cs-491-single-source-shortest-paths-b-match-strings,cychen6,100.0
cs-491-single-source-shortest-paths-c-biridian-forest,cychen6,100.0
cs-491-single-source-shortest-paths-a-rook-bishop-and-king,pps6,100.0
cs-491-single-source-shortest-paths-b-match-strings,pps6,100.0
cs-491-single-source-shortest-paths-c-biridian-forest,pps6,100.0
cs-491-single-source-shortest-paths-a-rook-bishop-and-king,rohitmb2,100.0
cs-491-single-source-shortest-paths-b-match-strings,rohitmb2,100.0
cs-491-single-source-shortest-paths-c-biridian-forest,rohitmb2,100.0
cs-491-single-source-shortest-paths-a-rook-bishop-and-king,nuoxing2,100.0
cs-491-single-source-shortest-paths-b-match-strings,nuoxing2,100.0
cs-491-single-source-shortest-paths-c-biridian-forest,nuoxing2,100.0
cs-491-single-source-shortest-paths-a-rook-bishop-and-king,anupamd2,100.0
cs-491-single-source-shortest-paths-b-match-strings,anupamd2,100.0
cs-491-single-source-shortest-paths-c-biridian-forest,anupamd2,100.0
cs-491-single-source-shortest-paths-a-rook-bishop-and-king,gracewz2,100.0
cs-491-single-source-shortest-paths-b-match-strings,gracewz2,100.0
cs-491-single-source-shortest-paths-c-biridian-forest,gracewz2,100.0
cs-491-single-source-shortest-paths-a-rook-bishop-and-king,jeremy19,100.0
cs-491-single-source-shortest-paths-b-match-strings,jeremy19,100.0
cs-491-single-source-shortest-paths-c-biridian-forest,jeremy19,100.0
cs-491-single-source-shortest-paths-a-rook-bishop-and-king,pk46,100.0
cs-491-single-source-shortest-paths-b-match-strings,pk46,100.0
cs-491-single-source-shortest-paths-c-biridian-forest,pk46,100.0
cs-491-single-source-shortest-paths-a-rook-bishop-and-king,gauravr2,100.0
cs-491-single-source-shortest-paths-b-match-strings,gauravr2,100.0
cs-491-single-source-shortest-paths-c-biridian-forest,gauravr2,100.0
cs-491-single-source-shortest-paths-a-rook-bishop-and-king,pskalle2,100.0
cs-491-single-source-shortest-paths-b-match-strings,pskalle2,100.0
cs-491-single-source-shortest-paths-c-biridian-forest,pskalle2,100.0
cs-491-single-source-shortest-paths-a-rook-bishop-and-king,ashwath6,100.0
cs-491-single-source-shortest-paths-b-match-strings,ashwath6,100.0
cs-491-single-source-shortest-paths-c-biridian-forest,ashwath6,100.0
cs-491-single-source-shortest-paths-a-rook-bishop-and-king,eeho2,100.0
cs-491-single-source-shortest-paths-b-match-strings,eeho2,100.0
