slug,netid,score
cs-491-all-pair-shortest-path-a-lcms,aayush8,100.0
cs-491-all-pair-shortest-path-b-letianpie-and-graph,aayush8,100.0
cs-491-all-pair-shortest-path-c-floyd-warshall-,aayush8,100.0
cs-491-all-pair-shortest-path-a-lcms,pps6,100.0
cs-491-all-pair-shortest-path-b-letianpie-and-graph,pps6,100.0
cs-491-all-pair-shortest-path-c-floyd-warshall-,pps6,100.0
cs-491-all-pair-shortest-path-a-lcms,gauravr2,100.0
cs-491-all-pair-shortest-path-b-letianpie-and-graph,gauravr2,100.0
cs-491-all-pair-shortest-path-c-floyd-warshall-,gauravr2,100.0
cs-491-all-pair-shortest-path-a-lcms,rohitmb2,100.0
cs-491-all-pair-shortest-path-b-letianpie-and-graph,rohitmb2,100.0
cs-491-all-pair-shortest-path-c-floyd-warshall-,rohitmb2,100.0
cs-491-all-pair-shortest-path-a-lcms,pk46,100.0
cs-491-all-pair-shortest-path-b-letianpie-and-graph,pk46,100.0
cs-491-all-pair-shortest-path-c-floyd-warshall-,pk46,100.0
cs-491-all-pair-shortest-path-a-lcms,anupamd2,100.0
cs-491-all-pair-shortest-path-b-letianpie-and-graph,anupamd2,100.0
cs-491-all-pair-shortest-path-c-floyd-warshall-,anupamd2,100.0
cs-491-all-pair-shortest-path-a-lcms,ashwath6,100.0
cs-491-all-pair-shortest-path-b-letianpie-and-graph,ashwath6,100.0
cs-491-all-pair-shortest-path-c-floyd-warshall-,ashwath6,100.0
cs-491-all-pair-shortest-path-a-lcms,rrfang2,100.0
cs-491-all-pair-shortest-path-b-letianpie-and-graph,rrfang2,100.0
cs-491-all-pair-shortest-path-c-floyd-warshall-,rrfang2,100.0
cs-491-all-pair-shortest-path-a-lcms,tvm3,100.0
cs-491-all-pair-shortest-path-b-letianpie-and-graph,tvm3,100.0
cs-491-all-pair-shortest-path-c-floyd-warshall-,tvm3,100.0
cs-491-all-pair-shortest-path-a-lcms,cychen6,100.0
cs-491-all-pair-shortest-path-b-letianpie-and-graph,cychen6,100.0
cs-491-all-pair-shortest-path-c-floyd-warshall-,cychen6,100.0
cs-491-all-pair-shortest-path-a-lcms,smudili2,100.0
cs-491-all-pair-shortest-path-b-letianpie-and-graph,smudili2,100.0
cs-491-all-pair-shortest-path-c-floyd-warshall-,smudili2,100.0
cs-491-all-pair-shortest-path-a-lcms,rkmohan2,100.0
cs-491-all-pair-shortest-path-b-letianpie-and-graph,rkmohan2,100.0
cs-491-all-pair-shortest-path-c-floyd-warshall-,rkmohan2,100.0
cs-491-all-pair-shortest-path-a-lcms,pskalle2,100.0
cs-491-all-pair-shortest-path-b-letianpie-and-graph,pskalle2,100.0
cs-491-all-pair-shortest-path-c-floyd-warshall-,pskalle2,100.0
cs-491-all-pair-shortest-path-a-lcms,kona2,100.0
cs-491-all-pair-shortest-path-b-letianpie-and-graph,kona2,100.0
cs-491-all-pair-shortest-path-c-floyd-warshall-,kona2,100.0
cs-491-all-pair-shortest-path-a-lcms,kasink2,0.0
cs-491-all-pair-shortest-path-b-letianpie-and-graph,kasink2,100.0
cs-491-all-pair-shortest-path-c-floyd-warshall-,kasink2,100.0
cs-491-all-pair-shortest-path-a-lcms,eeho2,0.0
cs-491-all-pair-shortest-path-b-letianpie-and-graph,eeho2,100.0
cs-491-all-pair-shortest-path-c-floyd-warshall-,eeho2,100.0
cs-491-all-pair-shortest-path-a-lcms,zihengc2,0.0
cs-491-all-pair-shortest-path-b-letianpie-and-graph,zihengc2,100.0
cs-491-all-pair-shortest-path-c-floyd-warshall-,zihengc2,100.0
cs-491-all-pair-shortest-path-a-lcms,arjit2,100.0
cs-491-all-pair-shortest-path-b-letianpie-and-graph,arjit2,0.0
cs-491-all-pair-shortest-path-c-floyd-warshall-,arjit2,100.0
cs-491-all-pair-shortest-path-a-lcms,sdonty2,0.0
cs-491-all-pair-shortest-path-b-letianpie-and-graph,sdonty2,100.0
cs-491-all-pair-shortest-path-c-floyd-warshall-,sdonty2,100.0
cs-491-all-pair-shortest-path-a-lcms,rajasg2,100.0
cs-491-all-pair-shortest-path-b-letianpie-and-graph,rajasg2,0.0
cs-491-all-pair-shortest-path-c-floyd-warshall-,rajasg2,100.0
cs-491-all-pair-shortest-path-a-lcms,akuma29,0.0
cs-491-all-pair-shortest-path-b-letianpie-and-graph,akuma29,100.0
cs-491-all-pair-shortest-path-c-floyd-warshall-,akuma29,100.0
cs-491-all-pair-shortest-path-a-lcms,dylanad2,0.0
cs-491-all-pair-shortest-path-b-letianpie-and-graph,dylanad2,100.0
cs-491-all-pair-shortest-path-c-floyd-warshall-,dylanad2,100.0
cs-491-all-pair-shortest-path-a-lcms,vismays2,0.0
cs-491-all-pair-shortest-path-b-letianpie-and-graph,vismays2,100.0
cs-491-all-pair-shortest-path-c-floyd-warshall-,vismays2,100.0
cs-491-all-pair-shortest-path-a-lcms,geda2,0.0
cs-491-all-pair-shortest-path-b-letianpie-and-graph,geda2,100.0
cs-491-all-pair-shortest-path-c-floyd-warshall-,geda2,100.0
cs-491-all-pair-shortest-path-a-lcms,hali53,0.0
cs-491-all-pair-shortest-path-b-letianpie-and-graph,hali53,100.0
cs-491-all-pair-shortest-path-c-floyd-warshall-,hali53,100.0
cs-491-all-pair-shortest-path-a-lcms,adelias2,100.0
cs-491-all-pair-shortest-path-b-letianpie-and-graph,adelias2,100.0
cs-491-all-pair-shortest-path-c-floyd-warshall-,adelias2,0.0
cs-491-all-pair-shortest-path-a-lcms,nuoxing2,0.0
cs-491-all-pair-shortest-path-b-letianpie-and-graph,nuoxing2,100.0
cs-491-all-pair-shortest-path-c-floyd-warshall-,nuoxing2,0.0
cs-491-all-pair-shortest-path-a-lcms,jacobak3,0.0
cs-491-all-pair-shortest-path-b-letianpie-and-graph,jacobak3,0.0
cs-491-all-pair-shortest-path-c-floyd-warshall-,jacobak3,100.0
cs-491-all-pair-shortest-path-a-lcms,nishkdp2,0.0
cs-491-all-pair-shortest-path-b-letianpie-and-graph,nishkdp2,0.0
cs-491-all-pair-shortest-path-c-floyd-warshall-,nishkdp2,100.0
cs-491-all-pair-shortest-path-a-lcms,augale2,0.0
cs-491-all-pair-shortest-path-b-letianpie-and-graph,augale2,0.0
cs-491-all-pair-shortest-path-c-floyd-warshall-,augale2,100.0
cs-491-all-pair-shortest-path-a-lcms,zhan32,0.0
cs-491-all-pair-shortest-path-b-letianpie-and-graph,zhan32,0.0
cs-491-all-pair-shortest-path-c-floyd-warshall-,zhan32,100.0
cs-491-all-pair-shortest-path-a-lcms,mihirs2,0.0
cs-491-all-pair-shortest-path-b-letianpie-and-graph,mihirs2,0.0
cs-491-all-pair-shortest-path-c-floyd-warshall-,mihirs2,100.0
cs-491-all-pair-shortest-path-a-lcms,sgandhi,0.0
cs-491-all-pair-shortest-path-b-letianpie-and-graph,sgandhi,0.0
cs-491-all-pair-shortest-path-c-floyd-warshall-,sgandhi,100.0
cs-491-all-pair-shortest-path-a-lcms,peiyuan3,0.0
cs-491-all-pair-shortest-path-b-letianpie-and-graph,peiyuan3,0.0
cs-491-all-pair-shortest-path-c-floyd-warshall-,peiyuan3,0.0
cs-491-all-pair-shortest-path-a-lcms,jeremy19,0.0
cs-491-all-pair-shortest-path-b-letianpie-and-graph,jeremy19,0.0
cs-491-all-pair-shortest-path-c-floyd-warshall-,jeremy19,0.0
cs-491-all-pair-shortest-path-a-lcms,aashayd2,0.0
cs-491-all-pair-shortest-path-b-letianpie-and-graph,aashayd2,0.0
cs-491-all-pair-shortest-path-c-floyd-warshall-,aashayd2,0.0
cs-491-all-pair-shortest-path-a-lcms,gracewz2,0.0
cs-491-all-pair-shortest-path-b-letianpie-and-graph,gracewz2,0.0
cs-491-all-pair-shortest-path-c-floyd-warshall-,gracewz2,0.0
