slug,netid,score
cs-491-graph-traversals-2-a-network,sawanoi2,100.0
cs-491-graph-traversals-2-b-police-stations,sawanoi2,100.0
cs-491-graph-traversals-2-a-network,peiyuan3,100.0
cs-491-graph-traversals-2-b-police-stations,peiyuan3,100.0
cs-491-graph-traversals-2-a-network,aayush8,100.0
cs-491-graph-traversals-2-b-police-stations,aayush8,100.0
cs-491-graph-traversals-2-a-network,pps6,100.0
cs-491-graph-traversals-2-b-police-stations,pps6,100.0
cs-491-graph-traversals-2-a-network,jacobak3,100.0
cs-491-graph-traversals-2-b-police-stations,jacobak3,100.0
cs-491-graph-traversals-2-a-network,anupamd2,100.0
cs-491-graph-traversals-2-b-police-stations,anupamd2,100.0
cs-491-graph-traversals-2-a-network,aashayd2,100.0
cs-491-graph-traversals-2-b-police-stations,aashayd2,100.0
cs-491-graph-traversals-2-a-network,nuoxing2,100.0
cs-491-graph-traversals-2-b-police-stations,nuoxing2,100.0
cs-491-graph-traversals-2-a-network,kasink2,100.0
cs-491-graph-traversals-2-b-police-stations,kasink2,100.0
cs-491-graph-traversals-2-a-network,rohitmb2,100.0
cs-491-graph-traversals-2-b-police-stations,rohitmb2,100.0
cs-491-graph-traversals-2-a-network,dylanad2,100.0
cs-491-graph-traversals-2-b-police-stations,dylanad2,100.0
cs-491-graph-traversals-2-a-network,rkmohan2,100.0
cs-491-graph-traversals-2-b-police-stations,rkmohan2,100.0
cs-491-graph-traversals-2-a-network,tvm3,100.0
cs-491-graph-traversals-2-b-police-stations,tvm3,100.0
cs-491-graph-traversals-2-a-network,nishkdp2,100.0
cs-491-graph-traversals-2-b-police-stations,nishkdp2,100.0
cs-491-graph-traversals-2-a-network,jeremy19,100.0
cs-491-graph-traversals-2-b-police-stations,jeremy19,100.0
cs-491-graph-traversals-2-a-network,pk46,100.0
cs-491-graph-traversals-2-b-police-stations,pk46,100.0
cs-491-graph-traversals-2-a-network,augale2,100.0
cs-491-graph-traversals-2-b-police-stations,augale2,100.0
cs-491-graph-traversals-2-a-network,zihengc2,100.0
cs-491-graph-traversals-2-b-police-stations,zihengc2,100.0
cs-491-graph-traversals-2-a-network,vismays2,100.0
cs-491-graph-traversals-2-b-police-stations,vismays2,100.0
cs-491-graph-traversals-2-a-network,ashwath6,100.0
cs-491-graph-traversals-2-b-police-stations,ashwath6,100.0
cs-491-graph-traversals-2-a-network,kona2,100.0
cs-491-graph-traversals-2-b-police-stations,kona2,100.0
cs-491-graph-traversals-2-a-network,sdonty2,100.0
cs-491-graph-traversals-2-b-police-stations,sdonty2,100.0
cs-491-graph-traversals-2-a-network,gauravr2,100.0
cs-491-graph-traversals-2-b-police-stations,gauravr2,100.0
cs-491-graph-traversals-2-a-network,esliu3,100.0
cs-491-graph-traversals-2-b-police-stations,esliu3,100.0
cs-491-graph-traversals-2-a-network,cychen6,100.0
cs-491-graph-traversals-2-b-police-stations,cychen6,100.0
cs-491-graph-traversals-2-a-network,smudili2,100.0
cs-491-graph-traversals-2-b-police-stations,smudili2,100.0
cs-491-graph-traversals-2-a-network,zhan32,100.0
cs-491-graph-traversals-2-b-police-stations,zhan32,100.0
cs-491-graph-traversals-2-a-network,akuma29,100.0
cs-491-graph-traversals-2-b-police-stations,akuma29,100.0
cs-491-graph-traversals-2-a-network,pskalle2,100.0
cs-491-graph-traversals-2-b-police-stations,pskalle2,100.0
cs-491-graph-traversals-2-a-network,mihirs2,100.0
cs-491-graph-traversals-2-b-police-stations,mihirs2,100.0
cs-491-graph-traversals-2-a-network,geda2,100.0
cs-491-graph-traversals-2-b-police-stations,geda2,100.0
cs-491-graph-traversals-2-a-network,eeho2,100.0
cs-491-graph-traversals-2-b-police-stations,eeho2,100.0
cs-491-graph-traversals-2-a-network,rajasg2,100.0
cs-491-graph-traversals-2-b-police-stations,rajasg2,100.0
cs-491-graph-traversals-2-a-network,wentaol4,100.0
cs-491-graph-traversals-2-b-police-stations,wentaol4,100.0
cs-491-graph-traversals-2-a-network,sgandhi,100.0
cs-491-graph-traversals-2-b-police-stations,sgandhi,100.0
cs-491-graph-traversals-2-a-network,adelias2,100.0
cs-491-graph-traversals-2-b-police-stations,adelias2,100.0
cs-491-graph-traversals-2-a-network,akhot2,100.0
cs-491-graph-traversals-2-b-police-stations,akhot2,0.0
cs-491-graph-traversals-2-a-network,arjit2,100.0
cs-491-graph-traversals-2-b-police-stations,arjit2,0.0
cs-491-graph-traversals-2-a-network,anniet5,100.0
cs-491-graph-traversals-2-b-police-stations,anniet5,0.0
cs-491-graph-traversals-2-a-network,hali53,0.0
cs-491-graph-traversals-2-b-police-stations,hali53,0.0
