slug,netid,score
cs-491-greedy-problems-a-apples,sawanoi2,100.0
cs-491-greedy-problems-b-beautiful-array,sawanoi2,100.0
cs-491-greedy-problems-c-coursework,sawanoi2,100.0
cs-491-greedy-problems-d-delivering-pizza,sawanoi2,100.0
cs-491-greedy-problems-a-apples,nuoxing2,100.0
cs-491-greedy-problems-b-beautiful-array,nuoxing2,100.0
cs-491-greedy-problems-c-coursework,nuoxing2,100.0
cs-491-greedy-problems-d-delivering-pizza,nuoxing2,100.0
cs-491-greedy-problems-a-apples,jacobak3,100.0
cs-491-greedy-problems-b-beautiful-array,jacobak3,100.0
cs-491-greedy-problems-c-coursework,jacobak3,100.0
cs-491-greedy-problems-d-delivering-pizza,jacobak3,100.0
cs-491-greedy-problems-a-apples,aayush8,100.0
cs-491-greedy-problems-b-beautiful-array,aayush8,100.0
cs-491-greedy-problems-c-coursework,aayush8,100.0
cs-491-greedy-problems-d-delivering-pizza,aayush8,100.0
cs-491-greedy-problems-a-apples,gauravr2,100.0
cs-491-greedy-problems-b-beautiful-array,gauravr2,100.0
cs-491-greedy-problems-c-coursework,gauravr2,100.0
cs-491-greedy-problems-d-delivering-pizza,gauravr2,100.0
cs-491-greedy-problems-a-apples,ashwath6,100.0
cs-491-greedy-problems-b-beautiful-array,ashwath6,100.0
cs-491-greedy-problems-c-coursework,ashwath6,100.0
cs-491-greedy-problems-d-delivering-pizza,ashwath6,100.0
cs-491-greedy-problems-a-apples,anupamd2,100.0
cs-491-greedy-problems-b-beautiful-array,anupamd2,100.0
cs-491-greedy-problems-c-coursework,anupamd2,100.0
cs-491-greedy-problems-d-delivering-pizza,anupamd2,100.0
cs-491-greedy-problems-a-apples,pps6,100.0
cs-491-greedy-problems-b-beautiful-array,pps6,100.0
cs-491-greedy-problems-c-coursework,pps6,100.0
cs-491-greedy-problems-d-delivering-pizza,pps6,100.0
cs-491-greedy-problems-a-apples,nishkdp2,100.0
cs-491-greedy-problems-b-beautiful-array,nishkdp2,100.0
cs-491-greedy-problems-c-coursework,nishkdp2,100.0
cs-491-greedy-problems-d-delivering-pizza,nishkdp2,100.0
cs-491-greedy-problems-a-apples,rajasg2,100.0
cs-491-greedy-problems-b-beautiful-array,rajasg2,100.0
cs-491-greedy-problems-c-coursework,rajasg2,100.0
cs-491-greedy-problems-d-delivering-pizza,rajasg2,100.0
cs-491-greedy-problems-a-apples,kasink2,100.0
cs-491-greedy-problems-b-beautiful-array,kasink2,100.0
cs-491-greedy-problems-c-coursework,kasink2,100.0
cs-491-greedy-problems-d-delivering-pizza,kasink2,100.0
cs-491-greedy-problems-a-apples,pk46,100.0
cs-491-greedy-problems-b-beautiful-array,pk46,100.0
cs-491-greedy-problems-c-coursework,pk46,100.0
cs-491-greedy-problems-d-delivering-pizza,pk46,100.0
cs-491-greedy-problems-a-apples,tvm3,100.0
cs-491-greedy-problems-b-beautiful-array,tvm3,100.0
cs-491-greedy-problems-c-coursework,tvm3,100.0
cs-491-greedy-problems-d-delivering-pizza,tvm3,100.0
cs-491-greedy-problems-a-apples,akhot2,100.0
cs-491-greedy-problems-b-beautiful-array,akhot2,100.0
cs-491-greedy-problems-c-coursework,akhot2,100.0
cs-491-greedy-problems-d-delivering-pizza,akhot2,100.0
cs-491-greedy-problems-a-apples,rohitmb2,100.0
cs-491-greedy-problems-b-beautiful-array,rohitmb2,100.0
cs-491-greedy-problems-c-coursework,rohitmb2,100.0
cs-491-greedy-problems-d-delivering-pizza,rohitmb2,100.0
cs-491-greedy-problems-a-apples,mihirs2,100.0
cs-491-greedy-problems-b-beautiful-array,mihirs2,100.0
cs-491-greedy-problems-c-coursework,mihirs2,100.0
cs-491-greedy-problems-d-delivering-pizza,mihirs2,100.0
cs-491-greedy-problems-a-apples,adelias2,100.0
cs-491-greedy-problems-b-beautiful-array,adelias2,100.0
cs-491-greedy-problems-c-coursework,adelias2,100.0
cs-491-greedy-problems-d-delivering-pizza,adelias2,100.0
cs-491-greedy-problems-a-apples,arjit2,100.0
cs-491-greedy-problems-b-beautiful-array,arjit2,100.0
cs-491-greedy-problems-c-coursework,arjit2,100.0
cs-491-greedy-problems-d-delivering-pizza,arjit2,100.0
cs-491-greedy-problems-a-apples,vismays2,100.0
cs-491-greedy-problems-b-beautiful-array,vismays2,100.0
cs-491-greedy-problems-c-coursework,vismays2,100.0
cs-491-greedy-problems-d-delivering-pizza,vismays2,100.0
cs-491-greedy-problems-a-apples,rrfang2,100.0
cs-491-greedy-problems-b-beautiful-array,rrfang2,100.0
cs-491-greedy-problems-c-coursework,rrfang2,100.0
cs-491-greedy-problems-d-delivering-pizza,rrfang2,100.0
cs-491-greedy-problems-a-apples,geda2,100.0
cs-491-greedy-problems-b-beautiful-array,geda2,100.0
cs-491-greedy-problems-c-coursework,geda2,100.0
cs-491-greedy-problems-d-delivering-pizza,geda2,100.0
cs-491-greedy-problems-a-apples,aashayd2,100.0
cs-491-greedy-problems-b-beautiful-array,aashayd2,100.0
cs-491-greedy-problems-c-coursework,aashayd2,100.0
cs-491-greedy-problems-d-delivering-pizza,aashayd2,100.0
cs-491-greedy-problems-a-apples,cychen6,100.0
cs-491-greedy-problems-b-beautiful-array,cychen6,100.0
cs-491-greedy-problems-c-coursework,cychen6,100.0
cs-491-greedy-problems-d-delivering-pizza,cychen6,100.0
cs-491-greedy-problems-a-apples,sgandhi,100.0
cs-491-greedy-problems-b-beautiful-array,sgandhi,100.0
cs-491-greedy-problems-c-coursework,sgandhi,100.0
cs-491-greedy-problems-d-delivering-pizza,sgandhi,100.0
cs-491-greedy-problems-a-apples,rkmohan2,100.0
cs-491-greedy-problems-b-beautiful-array,rkmohan2,100.0
cs-491-greedy-problems-c-coursework,rkmohan2,100.0
cs-491-greedy-problems-d-delivering-pizza,rkmohan2,100.0
cs-491-greedy-problems-a-apples,zhan32,100.0
cs-491-greedy-problems-b-beautiful-array,zhan32,100.0
cs-491-greedy-problems-c-coursework,zhan32,100.0
cs-491-greedy-problems-d-delivering-pizza,zhan32,100.0
cs-491-greedy-problems-a-apples,zihengc2,100.0
cs-491-greedy-problems-b-beautiful-array,zihengc2,100.0
cs-491-greedy-problems-c-coursework,zihengc2,100.0
cs-491-greedy-problems-d-delivering-pizza,zihengc2,100.0
