slug,netid,score
cs-491-bit-manipulations-a-fibonacci,sawanoi2,100.0
cs-491-bit-manipulations-b-exponential-algorithms,sawanoi2,100.0
cs-491-bit-manipulations-c-partition-to-zero,sawanoi2,100.0
cs-491-bit-manipulations-d-exponential-pizzas,sawanoi2,100.0
cs-491-bit-manipulations-e-composing-linear-function,sawanoi2,100.0
cs-491-bit-manipulations-a-fibonacci,nuoxing2,100.0
cs-491-bit-manipulations-b-exponential-algorithms,nuoxing2,100.0
cs-491-bit-manipulations-c-partition-to-zero,nuoxing2,100.0
cs-491-bit-manipulations-d-exponential-pizzas,nuoxing2,100.0
cs-491-bit-manipulations-e-composing-linear-function,nuoxing2,100.0
cs-491-bit-manipulations-a-fibonacci,aayush8,100.0
cs-491-bit-manipulations-b-exponential-algorithms,aayush8,100.0
cs-491-bit-manipulations-c-partition-to-zero,aayush8,100.0
cs-491-bit-manipulations-d-exponential-pizzas,aayush8,100.0
cs-491-bit-manipulations-e-composing-linear-function,aayush8,100.0
cs-491-bit-manipulations-a-fibonacci,peiyuan3,100.0
cs-491-bit-manipulations-b-exponential-algorithms,peiyuan3,100.0
cs-491-bit-manipulations-c-partition-to-zero,peiyuan3,100.0
cs-491-bit-manipulations-d-exponential-pizzas,peiyuan3,100.0
cs-491-bit-manipulations-e-composing-linear-function,peiyuan3,100.0
cs-491-bit-manipulations-a-fibonacci,pps6,100.0
cs-491-bit-manipulations-b-exponential-algorithms,pps6,100.0
cs-491-bit-manipulations-c-partition-to-zero,pps6,100.0
cs-491-bit-manipulations-d-exponential-pizzas,pps6,100.0
cs-491-bit-manipulations-e-composing-linear-function,pps6,100.0
cs-491-bit-manipulations-a-fibonacci,anupamd2,100.0
cs-491-bit-manipulations-b-exponential-algorithms,anupamd2,100.0
cs-491-bit-manipulations-c-partition-to-zero,anupamd2,100.0
cs-491-bit-manipulations-d-exponential-pizzas,anupamd2,100.0
cs-491-bit-manipulations-e-composing-linear-function,anupamd2,100.0
cs-491-bit-manipulations-a-fibonacci,akhot2,100.0
cs-491-bit-manipulations-b-exponential-algorithms,akhot2,100.0
cs-491-bit-manipulations-c-partition-to-zero,akhot2,100.0
cs-491-bit-manipulations-d-exponential-pizzas,akhot2,100.0
cs-491-bit-manipulations-e-composing-linear-function,akhot2,100.0
cs-491-bit-manipulations-a-fibonacci,jacobak3,100.0
cs-491-bit-manipulations-b-exponential-algorithms,jacobak3,100.0
cs-491-bit-manipulations-c-partition-to-zero,jacobak3,100.0
cs-491-bit-manipulations-d-exponential-pizzas,jacobak3,100.0
cs-491-bit-manipulations-e-composing-linear-function,jacobak3,100.0
cs-491-bit-manipulations-a-fibonacci,gauravr2,100.0
cs-491-bit-manipulations-b-exponential-algorithms,gauravr2,100.0
cs-491-bit-manipulations-c-partition-to-zero,gauravr2,100.0
cs-491-bit-manipulations-d-exponential-pizzas,gauravr2,100.0
cs-491-bit-manipulations-e-composing-linear-function,gauravr2,100.0
cs-491-bit-manipulations-a-fibonacci,kasink2,100.0
cs-491-bit-manipulations-b-exponential-algorithms,kasink2,100.0
cs-491-bit-manipulations-c-partition-to-zero,kasink2,100.0
cs-491-bit-manipulations-d-exponential-pizzas,kasink2,100.0
cs-491-bit-manipulations-e-composing-linear-function,kasink2,100.0
cs-491-bit-manipulations-a-fibonacci,rajasg2,100.0
cs-491-bit-manipulations-b-exponential-algorithms,rajasg2,100.0
cs-491-bit-manipulations-c-partition-to-zero,rajasg2,100.0
cs-491-bit-manipulations-d-exponential-pizzas,rajasg2,100.0
cs-491-bit-manipulations-e-composing-linear-function,rajasg2,100.0
cs-491-bit-manipulations-a-fibonacci,pk46,100.0
cs-491-bit-manipulations-b-exponential-algorithms,pk46,100.0
cs-491-bit-manipulations-c-partition-to-zero,pk46,100.0
cs-491-bit-manipulations-d-exponential-pizzas,pk46,100.0
cs-491-bit-manipulations-e-composing-linear-function,pk46,100.0
cs-491-bit-manipulations-a-fibonacci,sdonty2,100.0
cs-491-bit-manipulations-b-exponential-algorithms,sdonty2,100.0
cs-491-bit-manipulations-c-partition-to-zero,sdonty2,100.0
cs-491-bit-manipulations-d-exponential-pizzas,sdonty2,100.0
cs-491-bit-manipulations-e-composing-linear-function,sdonty2,100.0
cs-491-bit-manipulations-a-fibonacci,rohitmb2,100.0
cs-491-bit-manipulations-b-exponential-algorithms,rohitmb2,100.0
cs-491-bit-manipulations-c-partition-to-zero,rohitmb2,100.0
cs-491-bit-manipulations-d-exponential-pizzas,rohitmb2,100.0
cs-491-bit-manipulations-e-composing-linear-function,rohitmb2,100.0
cs-491-bit-manipulations-a-fibonacci,tvm3,100.0
cs-491-bit-manipulations-b-exponential-algorithms,tvm3,100.0
cs-491-bit-manipulations-c-partition-to-zero,tvm3,100.0
cs-491-bit-manipulations-d-exponential-pizzas,tvm3,100.0
cs-491-bit-manipulations-e-composing-linear-function,tvm3,100.0
cs-491-bit-manipulations-a-fibonacci,zhan32,100.0
cs-491-bit-manipulations-b-exponential-algorithms,zhan32,100.0
cs-491-bit-manipulations-c-partition-to-zero,zhan32,100.0
cs-491-bit-manipulations-d-exponential-pizzas,zhan32,100.0
cs-491-bit-manipulations-e-composing-linear-function,zhan32,100.0
cs-491-bit-manipulations-a-fibonacci,eeho2,100.0
cs-491-bit-manipulations-b-exponential-algorithms,eeho2,100.0
cs-491-bit-manipulations-c-partition-to-zero,eeho2,100.0
cs-491-bit-manipulations-d-exponential-pizzas,eeho2,100.0
cs-491-bit-manipulations-e-composing-linear-function,eeho2,100.0
cs-491-bit-manipulations-a-fibonacci,ashwath6,100.0
cs-491-bit-manipulations-b-exponential-algorithms,ashwath6,100.0
cs-491-bit-manipulations-c-partition-to-zero,ashwath6,100.0
cs-491-bit-manipulations-d-exponential-pizzas,ashwath6,100.0
cs-491-bit-manipulations-e-composing-linear-function,ashwath6,100.0
cs-491-bit-manipulations-a-fibonacci,vismays2,100.0
cs-491-bit-manipulations-b-exponential-algorithms,vismays2,100.0
cs-491-bit-manipulations-c-partition-to-zero,vismays2,100.0
cs-491-bit-manipulations-d-exponential-pizzas,vismays2,100.0
cs-491-bit-manipulations-e-composing-linear-function,vismays2,100.0
cs-491-bit-manipulations-a-fibonacci,wentaol4,100.0
cs-491-bit-manipulations-b-exponential-algorithms,wentaol4,100.0
cs-491-bit-manipulations-c-partition-to-zero,wentaol4,100.0
cs-491-bit-manipulations-d-exponential-pizzas,wentaol4,100.0
cs-491-bit-manipulations-e-composing-linear-function,wentaol4,100.0
cs-491-bit-manipulations-a-fibonacci,kona2,100.0
cs-491-bit-manipulations-b-exponential-algorithms,kona2,100.0
cs-491-bit-manipulations-c-partition-to-zero,kona2,100.0
cs-491-bit-manipulations-d-exponential-pizzas,kona2,100.0
cs-491-bit-manipulations-e-composing-linear-function,kona2,100.0
cs-491-bit-manipulations-a-fibonacci,arjit2,100.0
cs-491-bit-manipulations-b-exponential-algorithms,arjit2,100.0
cs-491-bit-manipulations-c-partition-to-zero,arjit2,100.0
cs-491-bit-manipulations-d-exponential-pizzas,arjit2,100.0
cs-491-bit-manipulations-e-composing-linear-function,arjit2,100.0
cs-491-bit-manipulations-a-fibonacci,mihirs2,100.0
cs-491-bit-manipulations-b-exponential-algorithms,mihirs2,100.0
cs-491-bit-manipulations-c-partition-to-zero,mihirs2,100.0
cs-491-bit-manipulations-d-exponential-pizzas,mihirs2,100.0
cs-491-bit-manipulations-e-composing-linear-function,mihirs2,100.0
cs-491-bit-manipulations-a-fibonacci,geda2,100.0
cs-491-bit-manipulations-b-exponential-algorithms,geda2,100.0
cs-491-bit-manipulations-c-partition-to-zero,geda2,100.0
cs-491-bit-manipulations-d-exponential-pizzas,geda2,100.0
cs-491-bit-manipulations-e-composing-linear-function,geda2,100.0
cs-491-bit-manipulations-a-fibonacci,augale2,100.0
cs-491-bit-manipulations-b-exponential-algorithms,augale2,100.0
cs-491-bit-manipulations-c-partition-to-zero,augale2,100.0
cs-491-bit-manipulations-d-exponential-pizzas,augale2,100.0
cs-491-bit-manipulations-e-composing-linear-function,augale2,100.0
cs-491-bit-manipulations-a-fibonacci,hali53,100.0
cs-491-bit-manipulations-b-exponential-algorithms,hali53,100.0
cs-491-bit-manipulations-c-partition-to-zero,hali53,100.0
cs-491-bit-manipulations-d-exponential-pizzas,hali53,100.0
cs-491-bit-manipulations-e-composing-linear-function,hali53,100.0
cs-491-bit-manipulations-a-fibonacci,dylanad2,100.0
cs-491-bit-manipulations-b-exponential-algorithms,dylanad2,100.0
cs-491-bit-manipulations-c-partition-to-zero,dylanad2,100.0
cs-491-bit-manipulations-d-exponential-pizzas,dylanad2,100.0
cs-491-bit-manipulations-e-composing-linear-function,dylanad2,100.0
cs-491-bit-manipulations-a-fibonacci,akuma29,100.0
cs-491-bit-manipulations-b-exponential-algorithms,akuma29,100.0
cs-491-bit-manipulations-c-partition-to-zero,akuma29,100.0
cs-491-bit-manipulations-d-exponential-pizzas,akuma29,100.0
cs-491-bit-manipulations-e-composing-linear-function,akuma29,100.0
cs-491-bit-manipulations-a-fibonacci,nishkdp2,100.0
cs-491-bit-manipulations-b-exponential-algorithms,nishkdp2,100.0
cs-491-bit-manipulations-c-partition-to-zero,nishkdp2,100.0
cs-491-bit-manipulations-d-exponential-pizzas,nishkdp2,100.0
cs-491-bit-manipulations-e-composing-linear-function,nishkdp2,100.0
cs-491-bit-manipulations-a-fibonacci,aashayd2,100.0
cs-491-bit-manipulations-b-exponential-algorithms,aashayd2,100.0
cs-491-bit-manipulations-c-partition-to-zero,aashayd2,100.0
cs-491-bit-manipulations-d-exponential-pizzas,aashayd2,100.0
cs-491-bit-manipulations-e-composing-linear-function,aashayd2,100.0
cs-491-bit-manipulations-a-fibonacci,sgandhi,100.0
cs-491-bit-manipulations-b-exponential-algorithms,sgandhi,100.0
cs-491-bit-manipulations-c-partition-to-zero,sgandhi,100.0
cs-491-bit-manipulations-d-exponential-pizzas,sgandhi,100.0
cs-491-bit-manipulations-e-composing-linear-function,sgandhi,100.0
cs-491-bit-manipulations-a-fibonacci,rkmohan2,100.0
cs-491-bit-manipulations-b-exponential-algorithms,rkmohan2,100.0
cs-491-bit-manipulations-c-partition-to-zero,rkmohan2,100.0
cs-491-bit-manipulations-d-exponential-pizzas,rkmohan2,0.0
cs-491-bit-manipulations-e-composing-linear-function,rkmohan2,100.0
cs-491-bit-manipulations-a-fibonacci,cychen6,100.0
cs-491-bit-manipulations-b-exponential-algorithms,cychen6,100.0
cs-491-bit-manipulations-c-partition-to-zero,cychen6,0.0
cs-491-bit-manipulations-d-exponential-pizzas,cychen6,100.0
cs-491-bit-manipulations-e-composing-linear-function,cychen6,100.0
cs-491-bit-manipulations-a-fibonacci,zihengc2,100.0
cs-491-bit-manipulations-b-exponential-algorithms,zihengc2,100.0
cs-491-bit-manipulations-c-partition-to-zero,zihengc2,100.0
cs-491-bit-manipulations-d-exponential-pizzas,zihengc2,100.0
cs-491-bit-manipulations-e-composing-linear-function,zihengc2,0.0
cs-491-bit-manipulations-a-fibonacci,smudili2,100.0
cs-491-bit-manipulations-b-exponential-algorithms,smudili2,100.0
cs-491-bit-manipulations-c-partition-to-zero,smudili2,100.0
cs-491-bit-manipulations-d-exponential-pizzas,smudili2,100.0
cs-491-bit-manipulations-e-composing-linear-function,smudili2,0.0
cs-491-bit-manipulations-a-fibonacci,jeremy19,0.0
cs-491-bit-manipulations-b-exponential-algorithms,jeremy19,100.0
cs-491-bit-manipulations-c-partition-to-zero,jeremy19,100.0
cs-491-bit-manipulations-d-exponential-pizzas,jeremy19,100.0
cs-491-bit-manipulations-e-composing-linear-function,jeremy19,0.0
cs-491-bit-manipulations-a-fibonacci,anniet5,0.0
cs-491-bit-manipulations-b-exponential-algorithms,anniet5,100.0
cs-491-bit-manipulations-c-partition-to-zero,anniet5,100.0
cs-491-bit-manipulations-d-exponential-pizzas,anniet5,0.0
cs-491-bit-manipulations-e-composing-linear-function,anniet5,0.0
