slug,netid,score
cs-491-review-of-lca-and-binary-lifting-a-another-array-problem,jacobak3,100.0
cs-491-review-of-lca-and-binary-lifting-a-another-array-problem,peiyuan3,100.0
cs-491-review-of-lca-and-binary-lifting-a-another-array-problem,sawanoi2,100.0
cs-491-review-of-lca-and-binary-lifting-a-another-array-problem,nuoxing2,100.0
cs-491-review-of-lca-and-binary-lifting-a-another-array-problem,rajasg2,100.0
cs-491-review-of-lca-and-binary-lifting-a-another-array-problem,wentaol4,100.0
cs-491-review-of-lca-and-binary-lifting-a-another-array-problem,kasink2,100.0
cs-491-review-of-lca-and-binary-lifting-a-another-array-problem,akhot2,100.0
cs-491-review-of-lca-and-binary-lifting-a-another-array-problem,mihirs2,100.0
cs-491-review-of-lca-and-binary-lifting-a-another-array-problem,adelias2,100.0
cs-491-review-of-lca-and-binary-lifting-a-another-array-problem,eeho2,100.0
cs-491-review-of-lca-and-binary-lifting-a-another-array-problem,hali53,0.0
cs-491-review-of-lca-and-binary-lifting-a-another-array-problem,rkmohan2,0.0
cs-491-review-of-lca-and-binary-lifting-a-another-array-problem,aayush8,0.0
cs-491-review-of-lca-and-binary-lifting-a-another-array-problem,augale2,0.0
cs-491-review-of-lca-and-binary-lifting-a-another-array-problem,pps6,0.0
