slug,netid,score
cs-491-dp-introduction-a-nac,sawanoi2,100.0
cs-491-dp-introduction-b-game,sawanoi2,100.0
cs-491-dp-introduction-c-maximum-in-table,sawanoi2,100.0
cs-491-dp-introduction-a-nac,gauravr2,100.0
cs-491-dp-introduction-b-game,gauravr2,100.0
cs-491-dp-introduction-c-maximum-in-table,gauravr2,100.0
cs-491-dp-introduction-a-nac,aayush8,100.0
cs-491-dp-introduction-b-game,aayush8,100.0
cs-491-dp-introduction-c-maximum-in-table,aayush8,100.0
cs-491-dp-introduction-a-nac,jacobak3,100.0
cs-491-dp-introduction-b-game,jacobak3,100.0
cs-491-dp-introduction-c-maximum-in-table,jacobak3,100.0
cs-491-dp-introduction-a-nac,cychen6,100.0
cs-491-dp-introduction-b-game,cychen6,100.0
cs-491-dp-introduction-c-maximum-in-table,cychen6,100.0
cs-491-dp-introduction-a-nac,nuoxing2,100.0
cs-491-dp-introduction-b-game,nuoxing2,100.0
cs-491-dp-introduction-c-maximum-in-table,nuoxing2,100.0
cs-491-dp-introduction-a-nac,pps6,100.0
cs-491-dp-introduction-b-game,pps6,100.0
cs-491-dp-introduction-c-maximum-in-table,pps6,100.0
cs-491-dp-introduction-a-nac,anupamd2,100.0
cs-491-dp-introduction-b-game,anupamd2,100.0
cs-491-dp-introduction-c-maximum-in-table,anupamd2,100.0
cs-491-dp-introduction-a-nac,rkmohan2,100.0
cs-491-dp-introduction-b-game,rkmohan2,100.0
cs-491-dp-introduction-c-maximum-in-table,rkmohan2,100.0
cs-491-dp-introduction-a-nac,tvm3,100.0
cs-491-dp-introduction-b-game,tvm3,100.0
cs-491-dp-introduction-c-maximum-in-table,tvm3,100.0
cs-491-dp-introduction-a-nac,akhot2,100.0
cs-491-dp-introduction-b-game,akhot2,100.0
cs-491-dp-introduction-c-maximum-in-table,akhot2,100.0
cs-491-dp-introduction-a-nac,rrfang2,100.0
cs-491-dp-introduction-b-game,rrfang2,100.0
cs-491-dp-introduction-c-maximum-in-table,rrfang2,100.0
cs-491-dp-introduction-a-nac,gracewz2,100.0
cs-491-dp-introduction-b-game,gracewz2,100.0
cs-491-dp-introduction-c-maximum-in-table,gracewz2,100.0
cs-491-dp-introduction-a-nac,ashwath6,100.0
cs-491-dp-introduction-b-game,ashwath6,100.0
cs-491-dp-introduction-c-maximum-in-table,ashwath6,100.0
cs-491-dp-introduction-a-nac,pk46,100.0
cs-491-dp-introduction-b-game,pk46,100.0
cs-491-dp-introduction-c-maximum-in-table,pk46,100.0
cs-491-dp-introduction-a-nac,eeho2,100.0
cs-491-dp-introduction-b-game,eeho2,100.0
cs-491-dp-introduction-c-maximum-in-table,eeho2,100.0
cs-491-dp-introduction-a-nac,mihirs2,100.0
cs-491-dp-introduction-b-game,mihirs2,100.0
cs-491-dp-introduction-c-maximum-in-table,mihirs2,100.0
cs-491-dp-introduction-a-nac,adelias2,100.0
cs-491-dp-introduction-b-game,adelias2,100.0
cs-491-dp-introduction-c-maximum-in-table,adelias2,100.0
cs-491-dp-introduction-a-nac,hali53,100.0
cs-491-dp-introduction-b-game,hali53,100.0
cs-491-dp-introduction-c-maximum-in-table,hali53,100.0
cs-491-dp-introduction-a-nac,rajasg2,100.0
cs-491-dp-introduction-b-game,rajasg2,100.0
cs-491-dp-introduction-c-maximum-in-table,rajasg2,100.0
cs-491-dp-introduction-a-nac,kasink2,100.0
cs-491-dp-introduction-b-game,kasink2,100.0
cs-491-dp-introduction-c-maximum-in-table,kasink2,100.0
cs-491-dp-introduction-a-nac,jeremy19,100.0
cs-491-dp-introduction-b-game,jeremy19,100.0
cs-491-dp-introduction-c-maximum-in-table,jeremy19,100.0
cs-491-dp-introduction-a-nac,sgandhi,100.0
cs-491-dp-introduction-b-game,sgandhi,100.0
cs-491-dp-introduction-c-maximum-in-table,sgandhi,100.0
cs-491-dp-introduction-a-nac,geda2,100.0
cs-491-dp-introduction-b-game,geda2,100.0
