slug,netid,score
cs-491-dp-homework-ii-a-mattox-s-gift,sawanoi2,100.0
cs-491-dp-homework-ii-b-2d-tsp,sawanoi2,100.0
cs-491-dp-homework-ii-c-mapping,sawanoi2,100.0
cs-491-dp-homework-ii-d-mattox-s-book-tower,sawanoi2,100.0
cs-491-dp-homework-ii-e-mattox-s-hole-in-one,sawanoi2,100.0
cs-491-dp-homework-ii-f-collisions,sawanoi2,100.0
cs-491-dp-homework-ii-g-flood,sawanoi2,100.0
cs-491-dp-homework-ii-h-store,sawanoi2,100.0
cs-491-dp-homework-ii-i-has-to-be-distinct,sawanoi2,100.0
cs-491-dp-homework-ii-j-blocked-nodes,sawanoi2,100.0
cs-491-dp-homework-ii-a-mattox-s-gift,hali53,100.0
cs-491-dp-homework-ii-b-2d-tsp,hali53,0.0
cs-491-dp-homework-ii-c-mapping,hali53,100.0
cs-491-dp-homework-ii-d-mattox-s-book-tower,hali53,100.0
cs-491-dp-homework-ii-e-mattox-s-hole-in-one,hali53,100.0
cs-491-dp-homework-ii-f-collisions,hali53,0.0
cs-491-dp-homework-ii-g-flood,hali53,100.0
cs-491-dp-homework-ii-h-store,hali53,0.0
cs-491-dp-homework-ii-i-has-to-be-distinct,hali53,0.0
cs-491-dp-homework-ii-j-blocked-nodes,hali53,0.0
cs-491-dp-homework-ii-a-mattox-s-gift,wentaol4,0.0
cs-491-dp-homework-ii-b-2d-tsp,wentaol4,0.0
cs-491-dp-homework-ii-c-mapping,wentaol4,0.0
cs-491-dp-homework-ii-d-mattox-s-book-tower,wentaol4,100.0
cs-491-dp-homework-ii-e-mattox-s-hole-in-one,wentaol4,100.0
cs-491-dp-homework-ii-f-collisions,wentaol4,0.0
cs-491-dp-homework-ii-g-flood,wentaol4,100.0
cs-491-dp-homework-ii-h-store,wentaol4,0.0
cs-491-dp-homework-ii-i-has-to-be-distinct,wentaol4,0.0
cs-491-dp-homework-ii-j-blocked-nodes,wentaol4,100.0
cs-491-dp-homework-ii-a-mattox-s-gift,pps6,0.0
cs-491-dp-homework-ii-b-2d-tsp,pps6,0.0
cs-491-dp-homework-ii-c-mapping,pps6,0.0
cs-491-dp-homework-ii-d-mattox-s-book-tower,pps6,100.0
cs-491-dp-homework-ii-e-mattox-s-hole-in-one,pps6,100.0
cs-491-dp-homework-ii-f-collisions,pps6,0.0
cs-491-dp-homework-ii-g-flood,pps6,0.0
cs-491-dp-homework-ii-h-store,pps6,0.0
cs-491-dp-homework-ii-i-has-to-be-distinct,pps6,0.0
cs-491-dp-homework-ii-j-blocked-nodes,pps6,100.0
cs-491-dp-homework-ii-a-mattox-s-gift,aayush8,0.0
cs-491-dp-homework-ii-b-2d-tsp,aayush8,0.0
cs-491-dp-homework-ii-c-mapping,aayush8,0.0
cs-491-dp-homework-ii-d-mattox-s-book-tower,aayush8,100.0
cs-491-dp-homework-ii-e-mattox-s-hole-in-one,aayush8,100.0
cs-491-dp-homework-ii-f-collisions,aayush8,0.0
cs-491-dp-homework-ii-g-flood,aayush8,0.0
cs-491-dp-homework-ii-h-store,aayush8,0.0
cs-491-dp-homework-ii-i-has-to-be-distinct,aayush8,0.0
cs-491-dp-homework-ii-j-blocked-nodes,aayush8,100.0
cs-491-dp-homework-ii-a-mattox-s-gift,jeremy19,0.0
cs-491-dp-homework-ii-b-2d-tsp,jeremy19,0.0
cs-491-dp-homework-ii-c-mapping,jeremy19,0.0
cs-491-dp-homework-ii-d-mattox-s-book-tower,jeremy19,100.0
cs-491-dp-homework-ii-e-mattox-s-hole-in-one,jeremy19,100.0
cs-491-dp-homework-ii-f-collisions,jeremy19,0.0
cs-491-dp-homework-ii-g-flood,jeremy19,0.0
cs-491-dp-homework-ii-h-store,jeremy19,0.0
cs-491-dp-homework-ii-i-has-to-be-distinct,jeremy19,0.0
cs-491-dp-homework-ii-j-blocked-nodes,jeremy19,100.0
cs-491-dp-homework-ii-a-mattox-s-gift,mihirs2,0.0
cs-491-dp-homework-ii-b-2d-tsp,mihirs2,0.0
cs-491-dp-homework-ii-c-mapping,mihirs2,0.0
cs-491-dp-homework-ii-d-mattox-s-book-tower,mihirs2,100.0
cs-491-dp-homework-ii-e-mattox-s-hole-in-one,mihirs2,100.0
cs-491-dp-homework-ii-f-collisions,mihirs2,0.0
cs-491-dp-homework-ii-g-flood,mihirs2,0.0
cs-491-dp-homework-ii-h-store,mihirs2,0.0
cs-491-dp-homework-ii-i-has-to-be-distinct,mihirs2,0.0
cs-491-dp-homework-ii-j-blocked-nodes,mihirs2,100.0
cs-491-dp-homework-ii-a-mattox-s-gift,nuoxing2,0.0
cs-491-dp-homework-ii-b-2d-tsp,nuoxing2,0.0
cs-491-dp-homework-ii-c-mapping,nuoxing2,0.0
cs-491-dp-homework-ii-d-mattox-s-book-tower,nuoxing2,100.0
cs-491-dp-homework-ii-e-mattox-s-hole-in-one,nuoxing2,100.0
cs-491-dp-homework-ii-f-collisions,nuoxing2,0.0
cs-491-dp-homework-ii-g-flood,nuoxing2,0.0
cs-491-dp-homework-ii-h-store,nuoxing2,0.0
cs-491-dp-homework-ii-i-has-to-be-distinct,nuoxing2,0.0
cs-491-dp-homework-ii-j-blocked-nodes,nuoxing2,100.0
cs-491-dp-homework-ii-a-mattox-s-gift,sdonty2,0.0
cs-491-dp-homework-ii-b-2d-tsp,sdonty2,0.0
cs-491-dp-homework-ii-c-mapping,sdonty2,0.0
cs-491-dp-homework-ii-d-mattox-s-book-tower,sdonty2,100.0
cs-491-dp-homework-ii-e-mattox-s-hole-in-one,sdonty2,100.0
cs-491-dp-homework-ii-f-collisions,sdonty2,0.0
cs-491-dp-homework-ii-g-flood,sdonty2,0.0
cs-491-dp-homework-ii-h-store,sdonty2,0.0
cs-491-dp-homework-ii-i-has-to-be-distinct,sdonty2,0.0
cs-491-dp-homework-ii-j-blocked-nodes,sdonty2,100.0
cs-491-dp-homework-ii-a-mattox-s-gift,rrfang2,0.0
cs-491-dp-homework-ii-b-2d-tsp,rrfang2,0.0
cs-491-dp-homework-ii-c-mapping,rrfang2,0.0
cs-491-dp-homework-ii-d-mattox-s-book-tower,rrfang2,100.0
cs-491-dp-homework-ii-e-mattox-s-hole-in-one,rrfang2,0.0
cs-491-dp-homework-ii-f-collisions,rrfang2,0.0
cs-491-dp-homework-ii-g-flood,rrfang2,0.0
cs-491-dp-homework-ii-h-store,rrfang2,0.0
cs-491-dp-homework-ii-i-has-to-be-distinct,rrfang2,100.0
cs-491-dp-homework-ii-j-blocked-nodes,rrfang2,100.0
cs-491-dp-homework-ii-a-mattox-s-gift,peiyuan3,0.0
cs-491-dp-homework-ii-b-2d-tsp,peiyuan3,0.0
cs-491-dp-homework-ii-c-mapping,peiyuan3,0.0
cs-491-dp-homework-ii-d-mattox-s-book-tower,peiyuan3,100.0
cs-491-dp-homework-ii-e-mattox-s-hole-in-one,peiyuan3,100.0
cs-491-dp-homework-ii-f-collisions,peiyuan3,0.0
cs-491-dp-homework-ii-g-flood,peiyuan3,0.0
cs-491-dp-homework-ii-h-store,peiyuan3,0.0
cs-491-dp-homework-ii-i-has-to-be-distinct,peiyuan3,0.0
cs-491-dp-homework-ii-j-blocked-nodes,peiyuan3,0.0
cs-491-dp-homework-ii-a-mattox-s-gift,tvm3,100.0
cs-491-dp-homework-ii-b-2d-tsp,tvm3,0.0
cs-491-dp-homework-ii-c-mapping,tvm3,0.0
cs-491-dp-homework-ii-d-mattox-s-book-tower,tvm3,100.0
cs-491-dp-homework-ii-e-mattox-s-hole-in-one,tvm3,0.0
cs-491-dp-homework-ii-f-collisions,tvm3,0.0
cs-491-dp-homework-ii-g-flood,tvm3,0.0
cs-491-dp-homework-ii-h-store,tvm3,0.0
cs-491-dp-homework-ii-i-has-to-be-distinct,tvm3,0.0
cs-491-dp-homework-ii-j-blocked-nodes,tvm3,0.0
cs-491-dp-homework-ii-a-mattox-s-gift,jacobak3,0.0
cs-491-dp-homework-ii-b-2d-tsp,jacobak3,0.0
cs-491-dp-homework-ii-c-mapping,jacobak3,0.0
cs-491-dp-homework-ii-d-mattox-s-book-tower,jacobak3,100.0
cs-491-dp-homework-ii-e-mattox-s-hole-in-one,jacobak3,100.0
cs-491-dp-homework-ii-f-collisions,jacobak3,0.0
cs-491-dp-homework-ii-g-flood,jacobak3,0.0
cs-491-dp-homework-ii-h-store,jacobak3,0.0
cs-491-dp-homework-ii-i-has-to-be-distinct,jacobak3,0.0
cs-491-dp-homework-ii-j-blocked-nodes,jacobak3,0.0
cs-491-dp-homework-ii-a-mattox-s-gift,kasink2,0.0
cs-491-dp-homework-ii-b-2d-tsp,kasink2,0.0
cs-491-dp-homework-ii-c-mapping,kasink2,0.0
cs-491-dp-homework-ii-d-mattox-s-book-tower,kasink2,100.0
cs-491-dp-homework-ii-e-mattox-s-hole-in-one,kasink2,100.0
cs-491-dp-homework-ii-f-collisions,kasink2,0.0
cs-491-dp-homework-ii-g-flood,kasink2,0.0
cs-491-dp-homework-ii-h-store,kasink2,0.0
cs-491-dp-homework-ii-i-has-to-be-distinct,kasink2,0.0
cs-491-dp-homework-ii-j-blocked-nodes,kasink2,0.0
cs-491-dp-homework-ii-a-mattox-s-gift,akhot2,0.0
cs-491-dp-homework-ii-b-2d-tsp,akhot2,0.0
cs-491-dp-homework-ii-c-mapping,akhot2,100.0
cs-491-dp-homework-ii-d-mattox-s-book-tower,akhot2,100.0
cs-491-dp-homework-ii-e-mattox-s-hole-in-one,akhot2,0.0
cs-491-dp-homework-ii-f-collisions,akhot2,0.0
cs-491-dp-homework-ii-g-flood,akhot2,0.0
cs-491-dp-homework-ii-h-store,akhot2,0.0
cs-491-dp-homework-ii-i-has-to-be-distinct,akhot2,0.0
cs-491-dp-homework-ii-j-blocked-nodes,akhot2,0.0
cs-491-dp-homework-ii-a-mattox-s-gift,zhan32,0.0
cs-491-dp-homework-ii-b-2d-tsp,zhan32,0.0
cs-491-dp-homework-ii-c-mapping,zhan32,0.0
cs-491-dp-homework-ii-d-mattox-s-book-tower,zhan32,100.0
cs-491-dp-homework-ii-e-mattox-s-hole-in-one,zhan32,0.0
cs-491-dp-homework-ii-f-collisions,zhan32,0.0
cs-491-dp-homework-ii-g-flood,zhan32,0.0
cs-491-dp-homework-ii-h-store,zhan32,0.0
cs-491-dp-homework-ii-i-has-to-be-distinct,zhan32,0.0
cs-491-dp-homework-ii-j-blocked-nodes,zhan32,100.0
cs-491-dp-homework-ii-a-mattox-s-gift,augale2,0.0
cs-491-dp-homework-ii-b-2d-tsp,augale2,0.0
cs-491-dp-homework-ii-c-mapping,augale2,0.0
cs-491-dp-homework-ii-d-mattox-s-book-tower,augale2,100.0
cs-491-dp-homework-ii-e-mattox-s-hole-in-one,augale2,0.0
cs-491-dp-homework-ii-f-collisions,augale2,0.0
cs-491-dp-homework-ii-g-flood,augale2,0.0
