slug,netid,score
cs-491-strings-a-longest-proper-suffix,wentaol4,100.0
cs-491-strings-b-string-matching,wentaol4,100.0
cs-491-strings-c-interleaving-strings,wentaol4,100.0
cs-491-strings-d-yet-another-string-problem,wentaol4,0.0
cs-491-strings-a-longest-proper-suffix,aayush8,100.0
cs-491-strings-b-string-matching,aayush8,100.0
cs-491-strings-c-interleaving-strings,aayush8,100.0
cs-491-strings-d-yet-another-string-problem,aayush8,0.0
cs-491-strings-a-longest-proper-suffix,jeremy19,100.0
cs-491-strings-b-string-matching,jeremy19,100.0
cs-491-strings-c-interleaving-strings,jeremy19,100.0
cs-491-strings-d-yet-another-string-problem,jeremy19,0.0
cs-491-strings-a-longest-proper-suffix,zhan32,100.0
cs-491-strings-b-string-matching,zhan32,100.0
cs-491-strings-c-interleaving-strings,zhan32,100.0
cs-491-strings-d-yet-another-string-problem,zhan32,0.0
cs-491-strings-a-longest-proper-suffix,dylanad2,100.0
cs-491-strings-b-string-matching,dylanad2,100.0
cs-491-strings-c-interleaving-strings,dylanad2,100.0
cs-491-strings-d-yet-another-string-problem,dylanad2,0.0
cs-491-strings-a-longest-proper-suffix,sdonty2,100.0
cs-491-strings-b-string-matching,sdonty2,100.0
cs-491-strings-c-interleaving-strings,sdonty2,100.0
cs-491-strings-d-yet-another-string-problem,sdonty2,0.0
cs-491-strings-a-longest-proper-suffix,rkmohan2,100.0
cs-491-strings-b-string-matching,rkmohan2,100.0
cs-491-strings-c-interleaving-strings,rkmohan2,0.0
cs-491-strings-d-yet-another-string-problem,rkmohan2,0.0
cs-491-strings-a-longest-proper-suffix,akhot2,100.0
cs-491-strings-b-string-matching,akhot2,100.0
cs-491-strings-c-interleaving-strings,akhot2,0.0
cs-491-strings-d-yet-another-string-problem,akhot2,0.0
cs-491-strings-a-longest-proper-suffix,gauravr2,100.0
cs-491-strings-b-string-matching,gauravr2,100.0
cs-491-strings-c-interleaving-strings,gauravr2,0.0
cs-491-strings-d-yet-another-string-problem,gauravr2,0.0
cs-491-strings-a-longest-proper-suffix,jacobak3,100.0
cs-491-strings-b-string-matching,jacobak3,100.0
cs-491-strings-c-interleaving-strings,jacobak3,0.0
cs-491-strings-d-yet-another-string-problem,jacobak3,0.0
cs-491-strings-a-longest-proper-suffix,pps6,100.0
cs-491-strings-b-string-matching,pps6,100.0
cs-491-strings-c-interleaving-strings,pps6,0.0
cs-491-strings-d-yet-another-string-problem,pps6,0.0
cs-491-strings-a-longest-proper-suffix,hali53,100.0
cs-491-strings-b-string-matching,hali53,100.0
cs-491-strings-c-interleaving-strings,hali53,0.0
cs-491-strings-d-yet-another-string-problem,hali53,0.0
cs-491-strings-a-longest-proper-suffix,kasink2,100.0
cs-491-strings-b-string-matching,kasink2,100.0
cs-491-strings-c-interleaving-strings,kasink2,0.0
cs-491-strings-d-yet-another-string-problem,kasink2,0.0
cs-491-strings-a-longest-proper-suffix,nuoxing2,100.0
