slug,netid,score
cs-491-number-theory-a-make-it-co-prime,peiyuan3,100.0
cs-491-number-theory-b-magic-numbers,peiyuan3,100.0
cs-491-number-theory-c-apples-ii,peiyuan3,100.0
cs-491-number-theory-d-b-zout-s-identity,peiyuan3,100.0
cs-491-number-theory-e-expanding-array,peiyuan3,100.0
cs-491-number-theory-f-extrac-credit-letianpie-s-game,peiyuan3,0.0
cs-491-number-theory-a-make-it-co-prime,rrfang2,100.0
cs-491-number-theory-b-magic-numbers,rrfang2,100.0
cs-491-number-theory-c-apples-ii,rrfang2,100.0
cs-491-number-theory-d-b-zout-s-identity,rrfang2,100.0
cs-491-number-theory-e-expanding-array,rrfang2,100.0
cs-491-number-theory-f-extrac-credit-letianpie-s-game,rrfang2,0.0
cs-491-number-theory-a-make-it-co-prime,aashayd2,100.0
cs-491-number-theory-b-magic-numbers,aashayd2,100.0
cs-491-number-theory-c-apples-ii,aashayd2,100.0
cs-491-number-theory-d-b-zout-s-identity,aashayd2,100.0
cs-491-number-theory-e-expanding-array,aashayd2,100.0
cs-491-number-theory-f-extrac-credit-letianpie-s-game,aashayd2,0.0
cs-491-number-theory-a-make-it-co-prime,rkmohan2,100.0
cs-491-number-theory-b-magic-numbers,rkmohan2,100.0
cs-491-number-theory-c-apples-ii,rkmohan2,100.0
cs-491-number-theory-d-b-zout-s-identity,rkmohan2,0.0
cs-491-number-theory-e-expanding-array,rkmohan2,100.0
cs-491-number-theory-f-extrac-credit-letianpie-s-game,rkmohan2,0.0
cs-491-number-theory-a-make-it-co-prime,vismays2,100.0
cs-491-number-theory-b-magic-numbers,vismays2,100.0
cs-491-number-theory-c-apples-ii,vismays2,100.0
cs-491-number-theory-d-b-zout-s-identity,vismays2,100.0
cs-491-number-theory-e-expanding-array,vismays2,0.0
cs-491-number-theory-f-extrac-credit-letianpie-s-game,vismays2,0.0
cs-491-number-theory-a-make-it-co-prime,nuoxing2,100.0
cs-491-number-theory-b-magic-numbers,nuoxing2,100.0
cs-491-number-theory-c-apples-ii,nuoxing2,100.0
cs-491-number-theory-d-b-zout-s-identity,nuoxing2,100.0
cs-491-number-theory-e-expanding-array,nuoxing2,0.0
cs-491-number-theory-f-extrac-credit-letianpie-s-game,nuoxing2,0.0
cs-491-number-theory-a-make-it-co-prime,sgandhi,100.0
cs-491-number-theory-b-magic-numbers,sgandhi,100.0
cs-491-number-theory-c-apples-ii,sgandhi,100.0
cs-491-number-theory-d-b-zout-s-identity,sgandhi,100.0
cs-491-number-theory-e-expanding-array,sgandhi,0.0
cs-491-number-theory-f-extrac-credit-letianpie-s-game,sgandhi,0.0
cs-491-number-theory-a-make-it-co-prime,rajasg2,100.0
cs-491-number-theory-b-magic-numbers,rajasg2,100.0
cs-491-number-theory-c-apples-ii,rajasg2,100.0
cs-491-number-theory-d-b-zout-s-identity,rajasg2,100.0
cs-491-number-theory-e-expanding-array,rajasg2,0.0
cs-491-number-theory-f-extrac-credit-letianpie-s-game,rajasg2,0.0
cs-491-number-theory-a-make-it-co-prime,hali53,100.0
cs-491-number-theory-b-magic-numbers,hali53,100.0
cs-491-number-theory-c-apples-ii,hali53,100.0
cs-491-number-theory-d-b-zout-s-identity,hali53,0.0
cs-491-number-theory-e-expanding-array,hali53,100.0
cs-491-number-theory-f-extrac-credit-letianpie-s-game,hali53,0.0
cs-491-number-theory-a-make-it-co-prime,zhan32,100.0
cs-491-number-theory-b-magic-numbers,zhan32,100.0
cs-491-number-theory-c-apples-ii,zhan32,100.0
cs-491-number-theory-d-b-zout-s-identity,zhan32,100.0
cs-491-number-theory-e-expanding-array,zhan32,0.0
cs-491-number-theory-f-extrac-credit-letianpie-s-game,zhan32,0.0
