slug,netid,score
cs-491-combinatorics-a-course-staff,adelias2,100.0
cs-491-combinatorics-b-practicing,adelias2,100.0
cs-491-combinatorics-c-safe-handshakes,adelias2,100.0
cs-491-combinatorics-d-problem-setting,adelias2,100.0
cs-491-combinatorics-e-eight-sout-queens-rooks,adelias2,100.0
cs-491-combinatorics-a-course-staff,pps6,100.0
cs-491-combinatorics-b-practicing,pps6,100.0
cs-491-combinatorics-c-safe-handshakes,pps6,100.0
cs-491-combinatorics-d-problem-setting,pps6,0.0
cs-491-combinatorics-e-eight-sout-queens-rooks,pps6,0.0
cs-491-combinatorics-a-course-staff,hali53,100.0
cs-491-combinatorics-b-practicing,hali53,100.0
cs-491-combinatorics-c-safe-handshakes,hali53,0.0
cs-491-combinatorics-d-problem-setting,hali53,100.0
cs-491-combinatorics-e-eight-sout-queens-rooks,hali53,0.0
cs-491-combinatorics-a-course-staff,vismays2,100.0
cs-491-combinatorics-b-practicing,vismays2,100.0
cs-491-combinatorics-c-safe-handshakes,vismays2,100.0
cs-491-combinatorics-d-problem-setting,vismays2,0.0
cs-491-combinatorics-e-eight-sout-queens-rooks,vismays2,0.0
cs-491-combinatorics-a-course-staff,sawanoi2,0.0
cs-491-combinatorics-b-practicing,sawanoi2,0.0
cs-491-combinatorics-c-safe-handshakes,sawanoi2,100.0
cs-491-combinatorics-d-problem-setting,sawanoi2,100.0
cs-491-combinatorics-e-eight-sout-queens-rooks,sawanoi2,100.0
cs-491-combinatorics-a-course-staff,aashayd2,100.0
cs-491-combinatorics-b-practicing,aashayd2,100.0
cs-491-combinatorics-c-safe-handshakes,aashayd2,0.0
cs-491-combinatorics-d-problem-setting,aashayd2,0.0
cs-491-combinatorics-e-eight-sout-queens-rooks,aashayd2,0.0
cs-491-combinatorics-a-course-staff,gauravr2,100.0
cs-491-combinatorics-b-practicing,gauravr2,100.0
cs-491-combinatorics-c-safe-handshakes,gauravr2,0.0
cs-491-combinatorics-d-problem-setting,gauravr2,0.0
cs-491-combinatorics-e-eight-sout-queens-rooks,gauravr2,0.0
cs-491-combinatorics-a-course-staff,mihirs2,100.0
cs-491-combinatorics-b-practicing,mihirs2,100.0
cs-491-combinatorics-c-safe-handshakes,mihirs2,0.0
cs-491-combinatorics-d-problem-setting,mihirs2,0.0
cs-491-combinatorics-e-eight-sout-queens-rooks,mihirs2,0.0
cs-491-combinatorics-a-course-staff,aayush8,100.0
cs-491-combinatorics-b-practicing,aayush8,100.0
cs-491-combinatorics-c-safe-handshakes,aayush8,0.0
cs-491-combinatorics-d-problem-setting,aayush8,0.0
cs-491-combinatorics-e-eight-sout-queens-rooks,aayush8,0.0
cs-491-combinatorics-a-course-staff,anupamd2,100.0
cs-491-combinatorics-b-practicing,anupamd2,100.0
cs-491-combinatorics-c-safe-handshakes,anupamd2,0.0
cs-491-combinatorics-d-problem-setting,anupamd2,0.0
cs-491-combinatorics-e-eight-sout-queens-rooks,anupamd2,0.0
cs-491-combinatorics-a-course-staff,akhot2,100.0
cs-491-combinatorics-b-practicing,akhot2,100.0
cs-491-combinatorics-c-safe-handshakes,akhot2,0.0
cs-491-combinatorics-d-problem-setting,akhot2,0.0
cs-491-combinatorics-e-eight-sout-queens-rooks,akhot2,0.0
cs-491-combinatorics-a-course-staff,sdonty2,100.0
cs-491-combinatorics-b-practicing,sdonty2,100.0
cs-491-combinatorics-c-safe-handshakes,sdonty2,0.0
cs-491-combinatorics-d-problem-setting,sdonty2,0.0
cs-491-combinatorics-e-eight-sout-queens-rooks,sdonty2,0.0
cs-491-combinatorics-a-course-staff,sgandhi,0.0
cs-491-combinatorics-b-practicing,sgandhi,100.0
cs-491-combinatorics-c-safe-handshakes,sgandhi,100.0
cs-491-combinatorics-d-problem-setting,sgandhi,0.0
cs-491-combinatorics-e-eight-sout-queens-rooks,sgandhi,0.0
cs-491-combinatorics-a-course-staff,augale2,100.0
cs-491-combinatorics-b-practicing,augale2,100.0
cs-491-combinatorics-c-safe-handshakes,augale2,0.0
cs-491-combinatorics-d-problem-setting,augale2,0.0
cs-491-combinatorics-e-eight-sout-queens-rooks,augale2,0.0
cs-491-combinatorics-a-course-staff,zihengc2,0.0
cs-491-combinatorics-b-practicing,zihengc2,100.0
cs-491-combinatorics-c-safe-handshakes,zihengc2,0.0
cs-491-combinatorics-d-problem-setting,zihengc2,0.0
cs-491-combinatorics-e-eight-sout-queens-rooks,zihengc2,100.0
cs-491-combinatorics-a-course-staff,tvm3,0.0
cs-491-combinatorics-b-practicing,tvm3,100.0
cs-491-combinatorics-c-safe-handshakes,tvm3,0.0
cs-491-combinatorics-d-problem-setting,tvm3,0.0
cs-491-combinatorics-e-eight-sout-queens-rooks,tvm3,0.0
cs-491-combinatorics-a-course-staff,peiyuan3,0.0
cs-491-combinatorics-b-practicing,peiyuan3,100.0
cs-491-combinatorics-c-safe-handshakes,peiyuan3,0.0
cs-491-combinatorics-d-problem-setting,peiyuan3,0.0
cs-491-combinatorics-e-eight-sout-queens-rooks,peiyuan3,0.0
cs-491-combinatorics-a-course-staff,jeremy19,0.0
cs-491-combinatorics-b-practicing,jeremy19,100.0
cs-491-combinatorics-c-safe-handshakes,jeremy19,0.0
cs-491-combinatorics-d-problem-setting,jeremy19,0.0
cs-491-combinatorics-e-eight-sout-queens-rooks,jeremy19,0.0
cs-491-combinatorics-a-course-staff,nishkdp2,0.0
cs-491-combinatorics-b-practicing,nishkdp2,100.0
cs-491-combinatorics-c-safe-handshakes,nishkdp2,0.0
cs-491-combinatorics-d-problem-setting,nishkdp2,0.0
cs-491-combinatorics-e-eight-sout-queens-rooks,nishkdp2,0.0
cs-491-combinatorics-a-course-staff,ashwath6,0.0
cs-491-combinatorics-b-practicing,ashwath6,100.0
cs-491-combinatorics-c-safe-handshakes,ashwath6,0.0
cs-491-combinatorics-d-problem-setting,ashwath6,0.0
cs-491-combinatorics-e-eight-sout-queens-rooks,ashwath6,0.0
cs-491-combinatorics-a-course-staff,kasink2,0.0
cs-491-combinatorics-b-practicing,kasink2,100.0
cs-491-combinatorics-c-safe-handshakes,kasink2,0.0
cs-491-combinatorics-d-problem-setting,kasink2,0.0
cs-491-combinatorics-e-eight-sout-queens-rooks,kasink2,0.0
cs-491-combinatorics-a-course-staff,nuoxing2,0.0
cs-491-combinatorics-b-practicing,nuoxing2,100.0
cs-491-combinatorics-c-safe-handshakes,nuoxing2,0.0
cs-491-combinatorics-d-problem-setting,nuoxing2,0.0
cs-491-combinatorics-e-eight-sout-queens-rooks,nuoxing2,0.0
cs-491-combinatorics-a-course-staff,zhan32,0.0
cs-491-combinatorics-b-practicing,zhan32,100.0
cs-491-combinatorics-c-safe-handshakes,zhan32,0.0
cs-491-combinatorics-d-problem-setting,zhan32,0.0
cs-491-combinatorics-e-eight-sout-queens-rooks,zhan32,0.0
cs-491-combinatorics-a-course-staff,wentaol4,0.0
cs-491-combinatorics-b-practicing,wentaol4,100.0
cs-491-combinatorics-c-safe-handshakes,wentaol4,0.0
cs-491-combinatorics-d-problem-setting,wentaol4,0.0
cs-491-combinatorics-e-eight-sout-queens-rooks,wentaol4,0.0
cs-491-combinatorics-a-course-staff,rajasg2,0.0
cs-491-combinatorics-b-practicing,rajasg2,100.0
cs-491-combinatorics-c-safe-handshakes,rajasg2,0.0
cs-491-combinatorics-d-problem-setting,rajasg2,0.0
cs-491-combinatorics-e-eight-sout-queens-rooks,rajasg2,0.0
cs-491-combinatorics-a-course-staff,geda2,0.0
cs-491-combinatorics-b-practicing,geda2,100.0
cs-491-combinatorics-c-safe-handshakes,geda2,0.0
cs-491-combinatorics-d-problem-setting,geda2,0.0
cs-491-combinatorics-e-eight-sout-queens-rooks,geda2,0.0
