slug,netid,score
cs-491-computational-geometry-homework-a-reachable,zhan32,100.0
cs-491-computational-geometry-homework-b-pepperoni,zhan32,100.0
cs-491-computational-geometry-homework-c-cellphone,zhan32,100.0
cs-491-computational-geometry-homework-d-polygon-in-polygon,zhan32,100.0
cs-491-computational-geometry-homework-e-letianpie-and-his-cows,zhan32,100.0
cs-491-computational-geometry-homework-f-crossing-the-streets,zhan32,100.0
cs-491-computational-geometry-homework-g-concave-hull,zhan32,100.0
cs-491-computational-geometry-homework-h-the-fair-nut-and-rectangles,zhan32,100.0
cs-491-computational-geometry-homework-a-reachable,zihengc2,100.0
cs-491-computational-geometry-homework-b-pepperoni,zihengc2,100.0
cs-491-computational-geometry-homework-c-cellphone,zihengc2,100.0
cs-491-computational-geometry-homework-d-polygon-in-polygon,zihengc2,100.0
cs-491-computational-geometry-homework-e-letianpie-and-his-cows,zihengc2,100.0
cs-491-computational-geometry-homework-f-crossing-the-streets,zihengc2,0.0
cs-491-computational-geometry-homework-g-concave-hull,zihengc2,0.0
cs-491-computational-geometry-homework-h-the-fair-nut-and-rectangles,zihengc2,0.0
cs-491-computational-geometry-homework-a-reachable,nishkdp2,100.0
cs-491-computational-geometry-homework-b-pepperoni,nishkdp2,100.0
cs-491-computational-geometry-homework-c-cellphone,nishkdp2,100.0
cs-491-computational-geometry-homework-d-polygon-in-polygon,nishkdp2,100.0
cs-491-computational-geometry-homework-e-letianpie-and-his-cows,nishkdp2,0.0
cs-491-computational-geometry-homework-f-crossing-the-streets,nishkdp2,0.0
cs-491-computational-geometry-homework-g-concave-hull,nishkdp2,0.0
cs-491-computational-geometry-homework-h-the-fair-nut-and-rectangles,nishkdp2,0.0
cs-491-computational-geometry-homework-a-reachable,aashayd2,100.0
cs-491-computational-geometry-homework-b-pepperoni,aashayd2,100.0
cs-491-computational-geometry-homework-c-cellphone,aashayd2,100.0
cs-491-computational-geometry-homework-d-polygon-in-polygon,aashayd2,100.0
cs-491-computational-geometry-homework-e-letianpie-and-his-cows,aashayd2,0.0
cs-491-computational-geometry-homework-f-crossing-the-streets,aashayd2,0.0
cs-491-computational-geometry-homework-g-concave-hull,aashayd2,0.0
cs-491-computational-geometry-homework-h-the-fair-nut-and-rectangles,aashayd2,0.0
cs-491-computational-geometry-homework-a-reachable,augale2,100.0
cs-491-computational-geometry-homework-b-pepperoni,augale2,100.0
cs-491-computational-geometry-homework-c-cellphone,augale2,100.0
cs-491-computational-geometry-homework-d-polygon-in-polygon,augale2,0.0
cs-491-computational-geometry-homework-e-letianpie-and-his-cows,augale2,0.0
cs-491-computational-geometry-homework-f-crossing-the-streets,augale2,0.0
cs-491-computational-geometry-homework-g-concave-hull,augale2,0.0
cs-491-computational-geometry-homework-h-the-fair-nut-and-rectangles,augale2,0.0
cs-491-computational-geometry-homework-a-reachable,hali53,0.0
cs-491-computational-geometry-homework-b-pepperoni,hali53,100.0
cs-491-computational-geometry-homework-c-cellphone,hali53,100.0
cs-491-computational-geometry-homework-d-polygon-in-polygon,hali53,0.0
cs-491-computational-geometry-homework-e-letianpie-and-his-cows,hali53,0.0
cs-491-computational-geometry-homework-f-crossing-the-streets,hali53,0.0
cs-491-computational-geometry-homework-g-concave-hull,hali53,0.0
