UID,UIN,Quiz 4
0040ec119a0e7aa820b4de796ce5694e@ondemand~sEVQJ2QlEeiG_Q46AKImGg::ciid=154129,,100
009995e3dea17ea5ef1d656b79f75660@ondemand~sEVQJ2QlEeiG_Q46AKImGg::ciid=154129,,86.93025809994509
00f76a4ae02fffb35c4a00e0db81d3b4@ondemand~sEVQJ2QlEeiG_Q46AKImGg::ciid=154129,,0.16474464579901243
01628579b4f6f68d9a941fd4ed2769e0@ondemand~sEVQJ2QlEeiG_Q46AKImGg::ciid=154129,,100
0399bf0a2c62b3c49a31512444a65901@ondemand~sEVQJ2QlEeiG_Q46AKImGg::ciid=154129,,100
0495693a8466130bb0ea4741df1681de@ondemand~sEVQJ2QlEeiG_Q46AKImGg::ciid=154129,,100
0719f3990e689a31204062322ddd2750@ondemand~sEVQJ2QlEeiG_Q46AKImGg::ciid=154129,,88.68753432180121
0a108662abdcc69aefe016585e7496c4@ondemand~sEVQJ2QlEeiG_Q46AKImGg::ciid=154129,,69.38495332235036
0a382c8ebab8ff0a0373a2a072042d7f@ondemand~sEVQJ2QlEeiG_Q46AKImGg::ciid=154129,,100
0aa8073a1a4277cf618f4d0ff7da3f99@ondemand~sEVQJ2QlEeiG_Q46AKImGg::ciid=154129,,100
0b55b9391ecee46a70199219d5f53b38@ondemand~sEVQJ2QlEeiG_Q46AKImGg::ciid=154129,,100
0c1975c3ca1fd88f8977eb5a8a1e56d6@ondemand~sEVQJ2QlEeiG_Q46AKImGg::ciid=154129,,100
0c1e0de7fff1d65512c976ae34b3cec5@ondemand~sEVQJ2QlEeiG_Q46AKImGg::ciid=154129,,97.58374519494782
0c9d0633eb5d34ed9be68c0f37683bbc@ondemand~sEVQJ2QlEeiG_Q46AKImGg::ciid=154129,,0
0d1b24c592de91a496a6ec8c17a7a5c0@ondemand~sEVQJ2QlEeiG_Q46AKImGg::ciid=154129,,99.45085118066996
11243d025a78ff758092602cde51b69c@ondemand~sEVQJ2QlEeiG_Q46AKImGg::ciid=154129,,100
13cbc72d9b55920f51fb9e8920ca2862@ondemand~sEVQJ2QlEeiG_Q46AKImGg::ciid=154129,,100
13d9b036da61b5be2281e79bfb3a0994@ondemand~sEVQJ2QlEeiG_Q46AKImGg::ciid=154129,,100
14dde9f8e6cf66932fe0725b4bd2d90f@ondemand~sEVQJ2QlEeiG_Q46AKImGg::ciid=154129,,0
15376e30446e0ee799ce085f53429ada@ondemand~sEVQJ2QlEeiG_Q46AKImGg::ciid=154129,,100
