"netId","uin","shortcode","totalClasses","comment"
"N/A","2275678","2275678",2,"Attended 2 lectures on dates: 09/23: 09/27"
"N/A","5000313","5000313",2,"Attended 2 lectures on dates: 10/02: 10/14"
"N/A","5301876","5301876",1,"Attended 1 lectures on dates: 08/30"
"N/A","6504819","6504819",1,"Attended 1 lectures on dates: 09/23"
"N/A","8031185","8031185",2,"Attended 2 lectures on dates: 10/16: 11/04"
"N/A","650623377","0623377",5,"Attended 5 lectures on dates: 08/26: 08/28: 08/30: 09/04: 09/06"
"N/A","650643984","0643984",21,"Attended 21 lectures on dates: 09/06: 09/09: 09/11: 09/23: 09/25: 09/27: 09/30: 10/02: 10/04: 10/07: 10/09: 10/14: 10/16: 10/25: 10/28: 10/30: 11/08: 11/11: 11/13: 11/18: 12/09"
"N/A","650934148","0934148",28,"Attended 28 lectures on dates: 08/28: 09/04: 09/06: 09/09: 09/11: 09/23: 09/25: 09/27: 09/30: 10/02: 10/04: 10/07: 10/09: 10/11: 10/14: 10/16: 10/21: 10/23: 10/25: 11/01: 11/04: 11/06: 11/13: 11/18: 11/20: 12/02: 12/04: 12/09"
"N/A","652045924","2045924",17,"Attended 17 lectures on dates: 09/06: 09/09: 09/11: 09/23: 09/25: 09/27: 09/30: 10/07: 10/09: 10/14: 10/21: 10/28: 10/30: 11/08: 11/11: 11/20: 12/09"
"N/A","652402729","2402729",26,"Attended 26 lectures on dates: 08/26: 08/28: 08/30: 09/04: 09/06: 09/09: 09/30: 10/02: 10/07: 10/09: 10/11: 10/14: 10/18: 10/21: 10/23: 10/25: 11/04: 11/06: 11/08: 11/11: 11/15: 11/18: 11/20: 12/02: 12/04: 12/09"
"N/A","652454211","2454211",33,"Attended 33 lectures on dates: 08/26: 08/28: 08/30: 09/04: 09/06: 09/09: 09/11: 09/23: 09/25: 09/27: 09/30: 10/02: 10/04: 10/07: 10/09: 10/11: 10/14: 10/16: 10/18: 10/21: 10/23: 10/25: 10/28: 10/30: 11/01: 11/04: 11/06: 11/08: 11/11: 11/15: 11/20: 12/02: 12/09"
"N/A","652728394","2728394",1,"Attended 1 lectures on dates: 09/04"
"N/A","652905321","2905321",2,"Attended 2 lectures on dates: 08/26: 08/28"
"N/A","653447449","3447449",27,"Attended 27 lectures on dates: 08/26: 08/28: 08/30: 09/04: 09/06: 09/09: 09/23: 09/25: 09/30: 10/02: 10/07: 10/09: 10/11: 10/14: 10/16: 10/18: 10/25: 10/28: 10/30: 11/01: 11/06: 11/08: 11/11: 11/18: 11/20: 12/04: 12/09"
"N/A","655207533","5207533",21,"Attended 21 lectures on dates: 08/30: 09/04: 09/06: 09/09: 09/11: 09/23: 09/25: 09/30: 10/02: 10/07: 10/09: 10/16: 10/21: 10/28: 11/01: 11/04: 11/13: 11/15: 11/20: 12/02: 12/09"
"N/A","655292335","5292335",29,"Attended 29 lectures on dates: 08/30: 09/04: 09/06: 09/09: 09/11: 09/23: 09/25: 09/27: 09/30: 10/02: 10/04: 10/07: 10/09: 10/14: 10/16: 10/18: 10/21: 10/25: 10/28: 10/30: 11/04: 11/06: 11/08: 11/15: 11/18: 11/20: 12/02: 12/04: 12/09"
"N/A","655735527","5735527",1,"Attended 1 lectures on dates: 08/26"
"N/A","655792550","5792550",27,"Attended 27 lectures on dates: 08/26: 08/28: 08/30: 09/04: 09/06: 09/09: 09/11: 09/23: 09/25: 09/27: 09/30: 10/02: 10/04: 10/07: 10/11: 10/14: 10/16: 10/18: 10/21: 10/23: 10/25: 10/28: 11/15: 11/20: 12/02: 12/04: 12/09"
