netid,slug,score
aashayd2,sep-23,x
aashayd2,sep-25,x
aashayd2,sep-27,x
aashayd2,nov-01,x
aashayd2,nov-04,x
aashayd2,nov-08,x
aashayd2,nov-15,x
aashayd2,oct-07,x
aashayd2,oct-14,x
aashayd2,oct-16,x
aashayd2,oct-21,x
aashayd2,oct-25,x
aashayd2,oct-28,x
aashayd2,oct-30,x
aashok8,aug-30,100
adelias2,aug-26,x
adelias2,aug-28,x
adelias2,aug-30,x
adelias2,cs-491-basic-graphs-a-network-topology,x
adelias2,cs-491-basic-graphs-b-bus,x
adelias2,cs-491-basic-graphs-c-functional-graphs,x
adelias2,cs-491-basic-graphs-d-communicating-between-mountains,x
adelias2,cs-491-binary-search-trees-a-node-sums,x
adelias2,cs-491-binary-search-trees-b-building-trees,x
adelias2,cs-491-binary-search-trees-c-tree-coloring,x
adelias2,cs-491-complete-search-a-placing-queens,x
adelias2,cs-491-complete-search-b-slay-the-boss,x
adelias2,cs-491-complete-search-c-teaming-,x
adelias2,cs-491-complete-search-d-ordering-pizza,x
adelias2,cs-491-disjoint-sets-a-bipartite,x
adelias2,cs-491-disjoint-sets-b-fountains,x
adelias2,cs-491-disjoint-sets-c-password-reconstruction,x
adelias2,cs-491-divide-and-conquer-a-higher-or-lower,x
adelias2,cs-491-divide-and-conquer-b-delicious-pizzas-,x
adelias2,cs-491-divide-and-conquer-c-red-black-tree,x
adelias2,cs-491-divide-and-conquer-d-letianpie-loves-playing-games,x
adelias2,cs-491-stl-a-radio-station,x
adelias2,cs-491-stl-b-highs-and-lows,x
adelias2,cs-491-stl-c-smartphone,x
adelias2,io-problems-preclass-a-io-explicit-counts,x
adelias2,io-problems-preclass-b-io-end-markers,x
adelias2,io-problems-preclass-c-io-end-of-file,x
adelias2,oct-28,x
adelias2,oct-30,x
adelias2,sep-04,x
adelias2,sep-06,x
adelias2,sep-09,x
adelias2,sep-11,x
adelias2,test-contest-a-a-b,x
akuma29,oct-16,x
augale2,oct-18,x
geda2,aug-26,x
geda2,aug-28,x
geda2,aug-30,x
geda2,dec-02,x
geda2,nov-01,x
geda2,nov-11,x
geda2,sep-04,x
geda2,sep-23,x
kona2,dec-02,x
kona2,nov-04,x
kona2,nov-13,x
mihirs2,oct-02,x
nishkdp2,aug-26,x
nishkdp2,aug-28,x
nishkdp2,dec-04,x
nishkdp2,nov-06,x
nishkdp2,nov-08,x
nishkdp2,nov-11,x
nishkdp2,nov-18,x
nishkdp2,oct-18,x
nishkdp2,oct-28,x
nuoxing2,aug-26,x
nuoxing2,aug-28,x
nuoxing2,aug-30,x
nuoxing2,sep-04,x
nuoxing2,sep-06,x
pps6,nov-15,x
pps6,nov-18,x
pps6,oct-14,x
pps6,oct-25,x
pps6,oct-28,x
rkmohan2,sep-09,x
rkmohan2,sep-11,x
rkmohan2,sep-25,x
shopp7,aug-26,100
tvm3,aug-30,x
zihengc2,aug-26,x
zihengc2,dec-02,x
zihengc2,dec-09,x
zihengc2,nov-04,x
zihengc2,nov-11,x
zihengc2,nov-18,x
zihengc2,oct-07,x
zihengc2,oct-14,x
zihengc2,oct-21,x
zihengc2,oct-28,x
zihengc2,sep-09,x
zihengc2,sep-16,x
zihengc2,sep-23,x
zihengc2,sep-30,x



